HR,timestamp,period
82.0,08:18:28,pre-test
85.5,08:18:29,pre-test
87.33,08:18:30,pre-test
86.25,08:18:31,pre-test
91.4,08:18:32,pre-test
90.0,08:18:33,pre-test
93.14,08:18:34,pre-test
96.12,08:18:35,pre-test
98.33,08:18:36,pre-test
100.1,08:18:37,pre-test
101.64,08:18:38,pre-test
103.08,08:18:39,pre-test
104.46,08:18:40,pre-test
105.5,08:18:41,pre-test
106.47,08:18:42,pre-test
107.25,08:18:43,pre-test
107.94,08:18:44,pre-test
108.61,08:18:45,pre-test
109.11,08:18:46,pre-test
109.4,08:18:47,pre-test
109.81,08:18:48,pre-test
110.14,08:18:49,pre-test
110.35,08:18:50,pre-test
110.96,08:18:51,pre-test
111.52,08:18:52,pre-test
112.0,08:18:53,pre-test
112.63,08:18:54,pre-test
113.11,08:18:55,pre-test
113.59,08:18:56,pre-test
114.0,08:18:57,pre-test
114.35,08:18:58,pre-test
114.69,08:18:59,pre-test
114.91,08:19:00,pre-test
115.03,08:19:01,pre-test
115.11,08:19:02,pre-test
115.22,08:19:03,pre-test
115.35,08:19:04,pre-test
114.74,08:19:05,pre-test
114.15,08:19:06,pre-test
113.55,08:19:07,pre-test
113.05,08:19:08,pre-test
112.38,08:19:09,pre-test
111.79,08:19:10,pre-test
111.16,08:19:11,pre-test
110.49,08:19:12,pre-test
109.76,08:19:13,pre-test
109.09,08:19:14,pre-test
108.54,08:19:15,pre-test
108.02,08:19:16,pre-test
107.58,08:19:17,pre-test
107.29,08:19:18,pre-test
107.17,08:19:19,pre-test
107.11,08:19:20,pre-test
107.06,08:19:21,pre-test
107.0,08:19:22,pre-test
106.96,08:19:23,pre-test
106.98,08:19:24,pre-test
106.97,08:19:25,pre-test
106.93,08:19:26,pre-test
106.87,08:19:27,pre-test
107.22,08:19:28,pre-test
107.45,08:19:29,pre-test
107.65,08:19:30,pre-test
107.98,08:19:31,pre-test
107.82,08:19:32,pre-test
108.15,08:19:33,pre-test
108.03,08:19:34,pre-test
107.8,08:19:35,pre-test
107.58,08:19:36,pre-test
107.15,08:19:37,pre-test
106.68,08:19:38,pre-test
106.22,08:19:39,pre-test
105.73,08:19:40,pre-test
105.27,08:19:41,pre-test
104.77,08:19:42,pre-test
104.23,08:19:43,pre-test
103.7,08:19:44,pre-test
103.1,08:19:45,pre-test
102.55,08:19:46,pre-test
102.62,08:19:47,pre-test
102.15,08:19:48,pre-test
101.73,08:19:49,pre-test
101.38,08:19:50,pre-test
101.8,08:19:51,pre-test
102.25,08:19:52,pre-test
102.72,08:19:53,pre-test
103.1,08:19:54,pre-test
103.53,08:19:55,pre-test
103.93,08:19:56,pre-test
104.82,08:19:57,pre-test
105.73,08:19:58,pre-test
106.65,08:19:59,pre-test
107.62,08:20:00,pre-test
108.63,08:20:01,pre-test
107.93,08:20:02,pre-test
