HR,timestamp,period
51.0,07:56:30,pre-test
56.0,07:56:31,pre-test
58.67,07:56:32,pre-test
60.0,07:56:33,pre-test
69.8,07:56:34,pre-test
76.33,07:56:35,pre-test
80.86,07:56:36,pre-test
84.12,07:56:37,pre-test
86.78,07:56:38,pre-test
89.0,07:56:39,pre-test
90.73,07:56:40,pre-test
92.0,07:56:41,pre-test
93.0,07:56:42,pre-test
93.57,07:56:43,pre-test
94.33,07:56:44,pre-test
95.12,07:56:45,pre-test
95.82,07:56:46,pre-test
96.33,07:56:47,pre-test
96.16,07:56:48,pre-test
96.0,07:56:49,pre-test
95.71,07:56:50,pre-test
95.59,07:56:51,pre-test
95.48,07:56:52,pre-test
95.42,07:56:53,pre-test
95.32,07:56:54,pre-test
95.27,07:56:55,pre-test
95.19,07:56:56,pre-test
95.18,07:56:57,pre-test
95.17,07:56:58,pre-test
95.17,07:56:59,pre-test
95.06,07:57:00,pre-test
95.0,07:57:01,pre-test
94.91,07:57:02,pre-test
94.85,07:57:03,pre-test
94.69,07:57:04,pre-test
95.61,07:57:05,pre-test
96.59,07:57:06,pre-test
97.53,07:57:07,pre-test
98.21,07:57:08,pre-test
98.82,07:57:09,pre-test
99.37,07:57:10,pre-test
100.05,07:57:11,pre-test
100.67,07:57:12,pre-test
101.32,07:57:13,pre-test
101.96,07:57:14,pre-test
102.54,07:57:15,pre-test
103.13,07:57:16,pre-test
103.73,07:57:17,pre-test
104.45,07:57:18,pre-test
105.06,07:57:19,pre-test
105.69,07:57:20,pre-test
106.31,07:57:21,pre-test
106.91,07:57:22,pre-test
107.2,07:57:23,pre-test
107.4,07:57:24,pre-test
107.62,07:57:25,pre-test
107.84,07:57:26,pre-test
108.03,07:57:27,pre-test
108.19,07:57:28,pre-test
108.33,07:57:29,pre-test
109.45,07:57:30,pre-test
110.37,07:57:31,pre-test
111.5,07:57:32,pre-test
112.68,07:57:33,pre-test
113.13,07:57:34,pre-test
113.58,07:57:35,pre-test
114.03,07:57:36,pre-test
114.57,07:57:37,pre-test
115.12,07:57:38,pre-test
115.65,07:57:39,pre-test
116.18,07:57:40,pre-test
116.75,07:57:41,pre-test
