EDA,timestamp,period
0.0,08:17:33,pre-test
0.001281,08:17:33,pre-test
0.0,08:17:34,pre-test
0.002562,08:17:34,pre-test
0.001281,08:17:34,pre-test
0.0,08:17:34,pre-test
0.001281,08:17:35,pre-test
0.001281,08:17:35,pre-test
0.0,08:17:35,pre-test
0.001281,08:17:35,pre-test
0.001281,08:17:36,pre-test
0.0,08:17:36,pre-test
0.001281,08:17:36,pre-test
0.0,08:17:36,pre-test
0.0,08:17:37,pre-test
0.0,08:17:37,pre-test
0.0,08:17:37,pre-test
0.0,08:17:37,pre-test
0.001281,08:17:38,pre-test
0.0,08:17:38,pre-test
0.001281,08:17:38,pre-test
0.001281,08:17:38,pre-test
0.0,08:17:39,pre-test
0.001281,08:17:39,pre-test
0.001281,08:17:39,pre-test
0.0,08:17:39,pre-test
0.0,08:17:40,pre-test
0.001281,08:17:40,pre-test
0.0,08:17:40,pre-test
0.001281,08:17:40,pre-test
0.001281,08:17:41,pre-test
0.0,08:17:41,pre-test
0.001281,08:17:41,pre-test
0.0,08:17:41,pre-test
0.0,08:17:42,pre-test
0.002562,08:17:42,pre-test
0.0,08:17:42,pre-test
0.0,08:17:42,pre-test
0.0,08:17:43,pre-test
0.0,08:17:43,pre-test
0.0,08:17:43,pre-test
0.0,08:17:43,pre-test
0.0,08:17:44,pre-test
0.001281,08:17:44,pre-test
0.001281,08:17:44,pre-test
0.0,08:17:44,pre-test
0.001281,08:17:45,pre-test
0.0,08:17:45,pre-test
0.002562,08:17:45,pre-test
0.001281,08:17:45,pre-test
0.0,08:17:46,pre-test
0.0,08:17:46,pre-test
0.001281,08:17:46,pre-test
0.001281,08:17:46,pre-test
0.0,08:17:47,pre-test
0.001281,08:17:47,pre-test
0.0,08:17:47,pre-test
0.0,08:17:47,pre-test
0.001281,08:17:48,pre-test
0.0,08:17:48,pre-test
0.0,08:17:48,pre-test
0.0,08:17:48,pre-test
0.0,08:17:49,pre-test
0.0,08:17:49,pre-test
0.001281,08:17:49,pre-test
0.0,08:17:49,pre-test
0.001281,08:17:50,pre-test
0.0,08:17:50,pre-test
0.0,08:17:50,pre-test
0.003843,08:17:50,pre-test
0.0,08:17:51,pre-test
0.0,08:17:51,pre-test
0.001281,08:17:51,pre-test
0.0,08:17:51,pre-test
0.0,08:17:52,pre-test
0.003843,08:17:52,pre-test
0.001281,08:17:52,pre-test
0.0,08:17:52,pre-test
0.001281,08:17:53,pre-test
0.001281,08:17:53,pre-test
0.0,08:17:53,pre-test
0.0,08:17:53,pre-test
0.001281,08:17:54,pre-test
0.0,08:17:54,pre-test
0.0,08:17:54,pre-test
0.0,08:17:54,pre-test
0.0,08:17:55,pre-test
0.0,08:17:55,pre-test
0.0,08:17:55,pre-test
0.0,08:17:55,pre-test
0.001281,08:17:56,pre-test
0.0,08:17:56,pre-test
0.001281,08:17:56,pre-test
0.0,08:17:56,pre-test
0.0,08:17:57,pre-test
0.001281,08:17:57,pre-test
0.001281,08:17:57,pre-test
0.0,08:17:57,pre-test
0.002562,08:17:58,pre-test
0.001281,08:17:58,pre-test
0.0,08:17:58,pre-test
