TEMP,timestamp,period
22.65,10:29:50,in-test
22.47,10:29:51,in-test
22.47,10:29:51,in-test
22.47,10:29:51,in-test
22.47,10:29:51,in-test
22.49,10:29:52,in-test
22.49,10:29:52,in-test
22.49,10:29:52,in-test
22.49,10:29:52,in-test
22.45,10:29:53,in-test
22.45,10:29:53,in-test
22.45,10:29:53,in-test
22.45,10:29:53,in-test
22.43,10:29:54,in-test
22.43,10:29:54,in-test
22.43,10:29:54,in-test
22.43,10:29:54,in-test
22.39,10:29:55,in-test
22.39,10:29:55,in-test
22.39,10:29:55,in-test
22.39,10:29:55,in-test
22.41,10:29:56,in-test
22.41,10:29:56,in-test
22.41,10:29:56,in-test
22.41,10:29:56,in-test
22.43,10:29:57,in-test
22.43,10:29:57,in-test
22.43,10:29:57,in-test
22.43,10:29:57,in-test
22.45,10:29:58,in-test
22.45,10:29:58,in-test
22.45,10:29:58,in-test
22.45,10:29:58,in-test
22.41,10:29:59,in-test
22.41,10:29:59,in-test
22.41,10:29:59,in-test
22.41,10:29:59,in-test
22.43,10:30:00,in-test
22.43,10:30:00,in-test
22.43,10:30:00,in-test
22.43,10:30:00,in-test
22.35,10:30:01,in-test
22.35,10:30:01,in-test
22.35,10:30:01,in-test
22.35,10:30:01,in-test
22.35,10:30:02,in-test
22.35,10:30:02,in-test
22.35,10:30:02,in-test
22.35,10:30:02,in-test
22.39,10:30:03,in-test
22.39,10:30:03,in-test
22.39,10:30:03,in-test
22.39,10:30:03,in-test
22.37,10:30:04,in-test
22.37,10:30:04,in-test
22.37,10:30:04,in-test
22.37,10:30:04,in-test
22.33,10:30:05,in-test
22.33,10:30:05,in-test
22.33,10:30:05,in-test
22.33,10:30:05,in-test
22.33,10:30:06,in-test
22.33,10:30:06,in-test
22.33,10:30:06,in-test
22.33,10:30:06,in-test
22.35,10:30:07,in-test
22.35,10:30:07,in-test
22.35,10:30:07,in-test
22.35,10:30:07,in-test
22.31,10:30:08,in-test
22.31,10:30:08,in-test
22.31,10:30:08,in-test
22.31,10:30:08,in-test
22.27,10:30:09,in-test
22.27,10:30:09,in-test
22.27,10:30:09,in-test
22.27,10:30:09,in-test
22.33,10:30:10,in-test
22.33,10:30:10,in-test
22.33,10:30:10,in-test
22.33,10:30:10,in-test
22.35,10:30:11,in-test
22.35,10:30:11,in-test
22.35,10:30:11,in-test
22.35,10:30:11,in-test
22.33,10:30:12,in-test
22.33,10:30:12,in-test
22.33,10:30:12,in-test
22.33,10:30:12,in-test
22.37,10:30:13,in-test
22.37,10:30:13,in-test
22.37,10:30:13,in-test
22.37,10:30:13,in-test
22.27,10:30:14,in-test
22.27,10:30:14,in-test
22.27,10:30:14,in-test
22.27,10:30:14,in-test
22.33,10:30:15,in-test
22.33,10:30:15,in-test
22.33,10:30:15,in-test
22.33,10:30:15,in-test
22.35,10:30:16,in-test
22.35,10:30:16,in-test
22.35,10:30:16,in-test
22.35,10:30:16,in-test
22.35,10:30:17,in-test
22.35,10:30:17,in-test
22.35,10:30:17,in-test
22.35,10:30:17,in-test
22.37,10:30:18,in-test
22.37,10:30:18,in-test
22.37,10:30:18,in-test
22.37,10:30:18,in-test
22.35,10:30:19,in-test
22.35,10:30:19,in-test
22.35,10:30:19,in-test
22.35,10:30:19,in-test
22.37,10:30:20,in-test
22.37,10:30:20,in-test
22.37,10:30:20,in-test
22.37,10:30:20,in-test
22.35,10:30:21,in-test
22.35,10:30:21,in-test
22.35,10:30:21,in-test
22.35,10:30:21,in-test
22.31,10:30:22,in-test
22.31,10:30:22,in-test
22.31,10:30:22,in-test
22.31,10:30:22,in-test
22.35,10:30:23,in-test
22.35,10:30:23,in-test
22.35,10:30:23,in-test
22.35,10:30:23,in-test
22.31,10:30:24,in-test
22.31,10:30:24,in-test
22.31,10:30:24,in-test
22.31,10:30:24,in-test
22.33,10:30:25,in-test
22.33,10:30:25,in-test
22.33,10:30:25,in-test
22.33,10:30:25,in-test
22.29,10:30:26,in-test
22.29,10:30:26,in-test
22.29,10:30:26,in-test
22.29,10:30:26,in-test
22.31,10:30:27,in-test
22.31,10:30:27,in-test
22.31,10:30:27,in-test
22.31,10:30:27,in-test
22.27,10:30:28,in-test
22.27,10:30:28,in-test
22.27,10:30:28,in-test
22.27,10:30:28,in-test
22.27,10:30:29,in-test
22.27,10:30:29,in-test
22.27,10:30:29,in-test
22.27,10:30:29,in-test
22.27,10:30:30,in-test
22.27,10:30:30,in-test
22.27,10:30:30,in-test
22.27,10:30:30,in-test
22.25,10:30:31,in-test
22.25,10:30:31,in-test
22.25,10:30:31,in-test
22.25,10:30:31,in-test
22.25,10:30:32,in-test
22.25,10:30:32,in-test
22.25,10:30:32,in-test
22.25,10:30:32,in-test
22.25,10:30:33,in-test
22.25,10:30:33,in-test
22.25,10:30:33,in-test
22.25,10:30:33,in-test
22.21,10:30:34,in-test
22.21,10:30:34,in-test
22.21,10:30:34,in-test
22.21,10:30:34,in-test
22.17,10:30:35,in-test
22.17,10:30:35,in-test
22.17,10:30:35,in-test
22.17,10:30:35,in-test
22.17,10:30:36,in-test
22.17,10:30:36,in-test
22.17,10:30:36,in-test
22.17,10:30:36,in-test
22.17,10:30:37,in-test
22.17,10:30:37,in-test
22.17,10:30:37,in-test
22.17,10:30:37,in-test
22.13,10:30:38,in-test
22.13,10:30:38,in-test
22.13,10:30:38,in-test
22.13,10:30:38,in-test
22.11,10:30:39,in-test
22.11,10:30:39,in-test
22.11,10:30:39,in-test
22.11,10:30:39,in-test
22.09,10:30:40,in-test
22.09,10:30:40,in-test
22.09,10:30:40,in-test
22.09,10:30:40,in-test
22.09,10:30:41,in-test
22.09,10:30:41,in-test
22.09,10:30:41,in-test
22.09,10:30:41,in-test
22.05,10:30:42,in-test
22.05,10:30:42,in-test
22.05,10:30:42,in-test
22.05,10:30:42,in-test
21.97,10:30:43,in-test
21.97,10:30:43,in-test
21.97,10:30:43,in-test
21.97,10:30:43,in-test
21.97,10:30:44,in-test
21.97,10:30:44,in-test
21.97,10:30:44,in-test
21.97,10:30:44,in-test
21.89,10:30:45,in-test
21.89,10:30:45,in-test
21.89,10:30:45,in-test
21.89,10:30:45,in-test
21.85,10:30:46,in-test
21.85,10:30:46,in-test
21.85,10:30:46,in-test
21.85,10:30:46,in-test
21.85,10:30:47,in-test
21.85,10:30:47,in-test
21.85,10:30:47,in-test
21.85,10:30:47,in-test
21.81,10:30:48,in-test
21.81,10:30:48,in-test
21.81,10:30:48,in-test
21.81,10:30:48,in-test
21.79,10:30:49,in-test
21.79,10:30:49,in-test
21.79,10:30:49,in-test
21.79,10:30:49,in-test
21.83,10:30:50,in-test
21.83,10:30:50,in-test
21.83,10:30:50,in-test
21.83,10:30:50,in-test
21.89,10:30:51,in-test
21.89,10:30:51,in-test
21.89,10:30:51,in-test
21.89,10:30:51,in-test
21.91,10:30:52,in-test
21.91,10:30:52,in-test
21.91,10:30:52,in-test
21.91,10:30:52,in-test
21.81,10:30:53,in-test
21.81,10:30:53,in-test
21.81,10:30:53,in-test
21.81,10:30:53,in-test
21.71,10:30:54,in-test
21.71,10:30:54,in-test
21.71,10:30:54,in-test
21.71,10:30:54,in-test
21.63,10:30:55,in-test
21.63,10:30:55,in-test
21.63,10:30:55,in-test
21.63,10:30:55,in-test
21.43,10:30:56,in-test
21.43,10:30:56,in-test
21.43,10:30:56,in-test
21.43,10:30:56,in-test
21.15,10:30:57,in-test
21.15,10:30:57,in-test
21.15,10:30:57,in-test
21.15,10:30:57,in-test
21.03,10:30:58,in-test
21.03,10:30:58,in-test
21.03,10:30:58,in-test
21.03,10:30:58,in-test
21.13,10:30:59,in-test
21.13,10:30:59,in-test
21.13,10:30:59,in-test
21.13,10:30:59,in-test
21.31,10:31:00,in-test
21.31,10:31:00,in-test
21.31,10:31:00,in-test
21.31,10:31:00,in-test
21.45,10:31:01,in-test
21.45,10:31:01,in-test
21.45,10:31:01,in-test
21.45,10:31:01,in-test
21.51,10:31:02,in-test
21.51,10:31:02,in-test
21.51,10:31:02,in-test
21.51,10:31:02,in-test
21.59,10:31:03,in-test
21.59,10:31:03,in-test
21.59,10:31:03,in-test
21.59,10:31:03,in-test
21.65,10:31:04,in-test
21.65,10:31:04,in-test
21.65,10:31:04,in-test
21.65,10:31:04,in-test
21.69,10:31:05,in-test
21.69,10:31:05,in-test
21.69,10:31:05,in-test
21.69,10:31:05,in-test
21.75,10:31:06,in-test
21.75,10:31:06,in-test
21.75,10:31:06,in-test
21.75,10:31:06,in-test
21.79,10:31:07,in-test
21.79,10:31:07,in-test
21.79,10:31:07,in-test
21.79,10:31:07,in-test
21.81,10:31:08,in-test
21.81,10:31:08,in-test
21.81,10:31:08,in-test
21.81,10:31:08,in-test
21.83,10:31:09,in-test
21.83,10:31:09,in-test
21.83,10:31:09,in-test
21.83,10:31:09,in-test
21.91,10:31:10,in-test
21.91,10:31:10,in-test
21.91,10:31:10,in-test
21.91,10:31:10,in-test
21.95,10:31:11,in-test
21.95,10:31:11,in-test
21.95,10:31:11,in-test
21.95,10:31:11,in-test
21.97,10:31:12,in-test
21.97,10:31:12,in-test
21.97,10:31:12,in-test
21.97,10:31:12,in-test
21.99,10:31:13,in-test
21.99,10:31:13,in-test
21.99,10:31:13,in-test
21.99,10:31:13,in-test
22.01,10:31:14,in-test
22.01,10:31:14,in-test
22.01,10:31:14,in-test
22.01,10:31:14,in-test
22.03,10:31:15,in-test
22.03,10:31:15,in-test
22.03,10:31:15,in-test
22.03,10:31:15,in-test
22.03,10:31:16,in-test
22.03,10:31:16,in-test
22.03,10:31:16,in-test
22.03,10:31:16,in-test
22.07,10:31:17,in-test
22.07,10:31:17,in-test
22.07,10:31:17,in-test
22.07,10:31:17,in-test
22.05,10:31:18,in-test
22.05,10:31:18,in-test
22.05,10:31:18,in-test
22.05,10:31:18,in-test
22.05,10:31:19,in-test
22.05,10:31:19,in-test
22.05,10:31:19,in-test
22.05,10:31:19,in-test
22.05,10:31:20,in-test
22.05,10:31:20,in-test
22.05,10:31:20,in-test
22.05,10:31:20,in-test
22.07,10:31:21,in-test
22.07,10:31:21,in-test
22.07,10:31:21,in-test
22.07,10:31:21,in-test
22.07,10:31:22,in-test
22.07,10:31:22,in-test
22.07,10:31:22,in-test
22.07,10:31:22,in-test
22.07,10:31:23,in-test
22.07,10:31:23,in-test
22.07,10:31:23,in-test
22.07,10:31:23,in-test
22.09,10:31:24,in-test
22.09,10:31:24,in-test
22.09,10:31:24,in-test
22.09,10:31:24,in-test
22.11,10:31:25,in-test
22.11,10:31:25,in-test
22.11,10:31:25,in-test
22.11,10:31:25,in-test
22.11,10:31:26,in-test
22.11,10:31:26,in-test
22.11,10:31:26,in-test
22.11,10:31:26,in-test
22.17,10:31:27,in-test
22.17,10:31:27,in-test
22.17,10:31:27,in-test
22.17,10:31:27,in-test
22.19,10:31:28,in-test
22.19,10:31:28,in-test
22.19,10:31:28,in-test
22.19,10:31:28,in-test
22.21,10:31:29,in-test
22.21,10:31:29,in-test
22.21,10:31:29,in-test
22.21,10:31:29,in-test
22.25,10:31:30,in-test
22.25,10:31:30,in-test
22.25,10:31:30,in-test
22.25,10:31:30,in-test
22.21,10:31:31,in-test
22.21,10:31:31,in-test
22.21,10:31:31,in-test
22.21,10:31:31,in-test
22.23,10:31:32,in-test
22.23,10:31:32,in-test
22.23,10:31:32,in-test
22.23,10:31:32,in-test
22.21,10:31:33,in-test
22.21,10:31:33,in-test
22.21,10:31:33,in-test
22.21,10:31:33,in-test
22.23,10:31:34,in-test
22.23,10:31:34,in-test
22.23,10:31:34,in-test
22.23,10:31:34,in-test
22.23,10:31:35,in-test
22.23,10:31:35,in-test
22.23,10:31:35,in-test
22.23,10:31:35,in-test
22.23,10:31:36,in-test
22.23,10:31:36,in-test
22.23,10:31:36,in-test
22.23,10:31:36,in-test
22.23,10:31:37,in-test
22.23,10:31:37,in-test
22.23,10:31:37,in-test
22.23,10:31:37,in-test
22.25,10:31:38,in-test
22.25,10:31:38,in-test
22.25,10:31:38,in-test
22.25,10:31:38,in-test
22.25,10:31:39,in-test
22.25,10:31:39,in-test
22.25,10:31:39,in-test
22.25,10:31:39,in-test
22.25,10:31:40,in-test
22.25,10:31:40,in-test
22.25,10:31:40,in-test
22.25,10:31:40,in-test
22.25,10:31:41,in-test
22.25,10:31:41,in-test
22.25,10:31:41,in-test
22.25,10:31:41,in-test
22.23,10:31:42,in-test
22.23,10:31:42,in-test
22.23,10:31:42,in-test
22.23,10:31:42,in-test
22.25,10:31:43,in-test
22.25,10:31:43,in-test
22.25,10:31:43,in-test
22.25,10:31:43,in-test
22.23,10:31:44,in-test
