,HR,timestamp,period,time_seconds
0,82.0,08:18:28,pre-test,0
1,85.5,08:18:29,pre-test,1
2,87.33,08:18:30,pre-test,2
3,86.25,08:18:31,pre-test,3
4,91.4,08:18:32,pre-test,4
5,90.0,08:18:33,pre-test,5
6,93.14,08:18:34,pre-test,6
7,96.12,08:18:35,pre-test,7
8,98.33,08:18:36,pre-test,8
9,100.1,08:18:37,pre-test,9
10,101.64,08:18:38,pre-test,10
11,103.08,08:18:39,pre-test,11
12,104.46,08:18:40,pre-test,12
13,105.5,08:18:41,pre-test,13
14,106.47,08:18:42,pre-test,14
15,107.25,08:18:43,pre-test,15
16,107.94,08:18:44,pre-test,16
17,108.61,08:18:45,pre-test,17
18,109.11,08:18:46,pre-test,18
19,109.4,08:18:47,pre-test,19
20,109.81,08:18:48,pre-test,20
21,110.14,08:18:49,pre-test,21
22,110.35,08:18:50,pre-test,22
23,110.96,08:18:51,pre-test,23
24,111.52,08:18:52,pre-test,24
25,112.0,08:18:53,pre-test,25
26,112.63,08:18:54,pre-test,26
27,113.11,08:18:55,pre-test,27
28,113.59,08:18:56,pre-test,28
29,114.0,08:18:57,pre-test,29
30,114.35,08:18:58,pre-test,30
31,114.69,08:18:59,pre-test,31
32,114.91,08:19:00,pre-test,32
33,115.03,08:19:01,pre-test,33
34,115.11,08:19:02,pre-test,34
35,115.22,08:19:03,pre-test,35
36,115.35,08:19:04,pre-test,36
37,114.74,08:19:05,pre-test,37
38,114.15,08:19:06,pre-test,38
39,113.55,08:19:07,pre-test,39
40,113.05,08:19:08,pre-test,40
41,112.38,08:19:09,pre-test,41
42,111.79,08:19:10,pre-test,42
43,111.16,08:19:11,pre-test,43
44,110.49,08:19:12,pre-test,44
45,109.76,08:19:13,pre-test,45
46,109.09,08:19:14,pre-test,46
47,108.54,08:19:15,pre-test,47
48,108.02,08:19:16,pre-test,48
49,107.58,08:19:17,pre-test,49
50,107.29,08:19:18,pre-test,50
51,107.17,08:19:19,pre-test,51
52,107.11,08:19:20,pre-test,52
53,107.06,08:19:21,pre-test,53
54,107.0,08:19:22,pre-test,54
55,106.96,08:19:23,pre-test,55
56,106.98,08:19:24,pre-test,56
57,106.97,08:19:25,pre-test,57
58,106.93,08:19:26,pre-test,58
59,106.87,08:19:27,pre-test,59
60,107.22,08:19:28,pre-test,60
61,107.45,08:19:29,pre-test,61
62,107.65,08:19:30,pre-test,62
63,107.98,08:19:31,pre-test,63
64,107.82,08:19:32,pre-test,64
65,108.15,08:19:33,pre-test,65
66,108.03,08:19:34,pre-test,66
67,107.8,08:19:35,pre-test,67
68,107.58,08:19:36,pre-test,68
69,107.15,08:19:37,pre-test,69
70,106.68,08:19:38,pre-test,70
71,106.22,08:19:39,pre-test,71
72,105.73,08:19:40,pre-test,72
73,105.27,08:19:41,pre-test,73
74,104.77,08:19:42,pre-test,74
75,104.23,08:19:43,pre-test,75
76,103.7,08:19:44,pre-test,76
77,103.1,08:19:45,pre-test,77
78,102.55,08:19:46,pre-test,78
79,102.62,08:19:47,pre-test,79
80,102.15,08:19:48,pre-test,80
81,101.73,08:19:49,pre-test,81
82,101.38,08:19:50,pre-test,82
83,101.8,08:19:51,pre-test,83
84,102.25,08:19:52,pre-test,84
85,102.72,08:19:53,pre-test,85
86,103.1,08:19:54,pre-test,86
87,103.53,08:19:55,pre-test,87
88,103.93,08:19:56,pre-test,88
89,104.82,08:19:57,pre-test,89
90,105.73,08:19:58,pre-test,90
91,106.65,08:19:59,pre-test,91
92,107.62,08:20:00,pre-test,92
93,108.63,08:20:01,pre-test,93
94,107.93,08:20:02,pre-test,94
95,107.23,08:20:03,pre-test,95
96,106.38,08:20:04,pre-test,96
97,106.02,08:20:05,pre-test,97
98,105.62,08:20:06,pre-test,98
99,105.3,08:20:07,pre-test,99
100,104.95,08:20:08,pre-test,100
101,104.75,08:20:09,pre-test,101
102,105.0,08:20:10,pre-test,102
103,105.15,08:20:11,pre-test,103
104,105.37,08:20:12,pre-test,104
105,105.65,08:20:13,pre-test,105
106,106.7,08:20:14,pre-test,106
107,108.05,08:20:15,pre-test,107
108,109.42,08:20:16,pre-test,108
109,110.73,08:20:17,pre-test,109
110,111.93,08:20:18,pre-test,110
111,112.95,08:20:19,pre-test,111
112,113.9,08:20:20,pre-test,112
113,114.88,08:20:21,pre-test,113
114,115.87,08:20:22,pre-test,114
115,116.85,08:20:23,pre-test,115
116,117.73,08:20:24,pre-test,116
117,118.68,08:20:25,pre-test,117
118,119.68,08:20:26,pre-test,118
119,120.73,08:20:27,pre-test,119
120,121.75,08:20:28,pre-test,120
121,122.55,08:20:29,pre-test,121
122,123.37,08:20:30,pre-test,122
123,124.47,08:20:31,pre-test,123
124,125.52,08:20:32,pre-test,124
125,126.55,08:20:33,pre-test,125
126,127.55,08:20:34,pre-test,126
127,128.52,08:20:35,pre-test,127
128,129.48,08:20:36,pre-test,128
129,130.7,08:20:37,pre-test,129
130,131.92,08:20:38,pre-test,130
131,133.08,08:20:39,pre-test,131
132,134.23,08:20:40,pre-test,132
133,135.45,08:20:41,pre-test,133
134,136.68,08:20:42,pre-test,134
135,137.98,08:20:43,pre-test,135
136,139.3,08:20:44,pre-test,136
137,140.62,08:20:45,pre-test,137
138,141.93,08:20:46,pre-test,138
139,142.7,08:20:47,pre-test,139
140,143.97,08:20:48,pre-test,140
141,145.2,08:20:49,pre-test,141
142,146.38,08:20:50,pre-test,142
143,146.65,08:20:51,pre-test,143
144,146.85,08:20:52,pre-test,144
145,147.1,08:20:53,pre-test,145
146,147.4,08:20:54,pre-test,146
147,147.67,08:20:55,pre-test,147
148,147.92,08:20:56,pre-test,148
149,147.73,08:20:57,pre-test,149
150,147.55,08:20:58,pre-test,150
151,147.35,08:20:59,pre-test,151
152,147.13,08:21:00,pre-test,152
153,146.77,08:21:01,pre-test,153
154,148.13,08:21:02,pre-test,154
155,149.45,08:21:03,pre-test,155
156,150.93,08:21:04,pre-test,156
157,152.43,08:21:05,pre-test,157
158,153.95,08:21:06,pre-test,158
159,155.42,08:21:07,pre-test,159
160,156.83,08:21:08,pre-test,160
161,158.25,08:21:09,pre-test,161
162,159.18,08:21:10,pre-test,162
163,160.52,08:21:11,pre-test,163
164,161.77,08:21:12,pre-test,164
165,162.98,08:21:13,pre-test,165
166,163.38,08:21:14,pre-test,166
167,163.38,08:21:15,pre-test,167
168,163.37,08:21:16,pre-test,168
169,163.37,08:21:17,pre-test,169
170,163.32,08:21:18,pre-test,170
171,163.27,08:21:19,pre-test,171
172,163.28,08:21:20,pre-test,172
173,163.25,08:21:21,pre-test,173
174,163.42,08:21:22,pre-test,174
175,163.58,08:21:23,pre-test,175
176,163.92,08:21:24,pre-test,176
177,164.22,08:21:25,pre-test,177
178,164.47,08:21:26,pre-test,178
179,164.73,08:21:27,pre-test,179
180,165.02,08:21:28,pre-test,180
181,165.5,08:21:29,pre-test,181
182,165.82,08:21:30,pre-test,182
183,165.75,08:21:31,pre-test,183
184,165.72,08:21:32,pre-test,184
185,165.72,08:21:33,pre-test,185
186,165.7,08:21:34,pre-test,186
187,165.75,08:21:35,pre-test,187
188,165.8,08:21:36,pre-test,188
189,165.83,08:21:37,pre-test,189
190,165.88,08:21:38,pre-test,190
191,165.88,08:21:39,pre-test,191
192,165.88,08:21:40,pre-test,192
193,165.8,08:21:41,pre-test,193
194,165.7,08:21:42,pre-test,194
195,165.55,08:21:43,pre-test,195
196,165.38,08:21:44,pre-test,196
197,165.25,08:21:45,pre-test,197
198,165.02,08:21:46,pre-test,198
