,EDA,timestamp,period,time_seconds
151,0.024345,10:29:34,in-test,37.75
152,0.025627,10:29:35,in-test,38.0
153,0.023064,10:29:35,in-test,38.25
154,0.024345,10:29:35,in-test,38.5
155,0.023064,10:29:35,in-test,38.75
156,0.023064,10:29:36,in-test,39.0
157,0.025627,10:29:36,in-test,39.25
158,0.025627,10:29:36,in-test,39.5
159,0.020501,10:29:36,in-test,39.75
160,0.024345,10:29:37,in-test,40.0
161,0.024345,10:29:37,in-test,40.25
162,0.020501,10:29:37,in-test,40.5
163,0.023064,10:29:37,in-test,40.75
164,0.024345,10:29:38,in-test,41.0
165,0.025627,10:29:38,in-test,41.25
166,0.023064,10:29:38,in-test,41.5
167,0.024345,10:29:38,in-test,41.75
168,0.023064,10:29:39,in-test,42.0
169,0.024345,10:29:39,in-test,42.25
170,0.021783,10:29:39,in-test,42.5
171,0.023064,10:29:39,in-test,42.75
172,0.024345,10:29:40,in-test,43.0
173,0.023064,10:29:40,in-test,43.25
174,0.023064,10:29:40,in-test,43.5
175,0.023064,10:29:40,in-test,43.75
176,0.023064,10:29:41,in-test,44.0
177,0.024345,10:29:41,in-test,44.25
178,0.024345,10:29:41,in-test,44.5
179,0.025627,10:29:41,in-test,44.75
180,0.021783,10:29:42,in-test,45.0
181,0.023064,10:29:42,in-test,45.25
182,0.024345,10:29:42,in-test,45.5
183,0.024345,10:29:42,in-test,45.75
184,0.023064,10:29:43,in-test,46.0
185,0.023064,10:29:43,in-test,46.25
186,0.024345,10:29:43,in-test,46.5
187,0.021783,10:29:43,in-test,46.75
188,0.024345,10:29:44,in-test,47.0
189,0.023064,10:29:44,in-test,47.25
190,0.023064,10:29:44,in-test,47.5
191,0.023064,10:29:44,in-test,47.75
192,0.024345,10:29:45,in-test,48.0
193,0.025627,10:29:45,in-test,48.25
194,0.024345,10:29:45,in-test,48.5
195,0.023064,10:29:45,in-test,48.75
196,0.023064,10:29:46,in-test,49.0
197,0.024345,10:29:46,in-test,49.25
198,0.023064,10:29:46,in-test,49.5
199,0.023064,10:29:46,in-test,49.75
200,0.021783,10:29:47,in-test,50.0
201,0.025627,10:29:47,in-test,50.25
202,0.023064,10:29:47,in-test,50.5
203,0.023064,10:29:47,in-test,50.75
204,0.023064,10:29:48,in-test,51.0
205,0.023064,10:29:48,in-test,51.25
206,0.024345,10:29:48,in-test,51.5
207,0.023064,10:29:48,in-test,51.75
208,0.021783,10:29:49,in-test,52.0
209,0.024345,10:29:49,in-test,52.25
210,0.024345,10:29:49,in-test,52.5
211,0.024345,10:29:49,in-test,52.75
212,0.025627,10:29:50,in-test,53.0
213,0.023064,10:29:50,in-test,53.25
214,0.023064,10:29:50,in-test,53.5
215,0.024345,10:29:50,in-test,53.75
216,0.023064,10:29:51,in-test,54.0
217,0.025627,10:29:51,in-test,54.25
218,0.023064,10:29:51,in-test,54.5
219,0.023064,10:29:51,in-test,54.75
220,0.021783,10:29:52,in-test,55.0
221,0.023064,10:29:52,in-test,55.25
222,0.021783,10:29:52,in-test,55.5
223,0.024345,10:29:52,in-test,55.75
224,0.021783,10:29:53,in-test,56.0
225,0.023064,10:29:53,in-test,56.25
226,0.024345,10:29:53,in-test,56.5
227,0.023064,10:29:53,in-test,56.75
228,0.023064,10:29:54,in-test,57.0
229,0.024345,10:29:54,in-test,57.25
230,0.024345,10:29:54,in-test,57.5
231,0.023064,10:29:54,in-test,57.75
232,0.023064,10:29:55,in-test,58.0
233,0.024345,10:29:55,in-test,58.25
234,0.024345,10:29:55,in-test,58.5
235,0.023064,10:29:55,in-test,58.75
236,0.024345,10:29:56,in-test,59.0
237,0.024345,10:29:56,in-test,59.25
238,0.024345,10:29:56,in-test,59.5
239,0.023064,10:29:56,in-test,59.75
240,0.021783,10:29:57,in-test,60.0
241,0.023064,10:29:57,in-test,60.25
242,0.021783,10:29:57,in-test,60.5
243,0.024345,10:29:57,in-test,60.75
244,0.024345,10:29:58,in-test,61.0
245,0.024345,10:29:58,in-test,61.25
246,0.023064,10:29:58,in-test,61.5
