EDA,timestamp,time_seconds,period
0.014096,08:44:02,-300.0,pre-test
0.016658,08:44:02,-299.75,pre-test
0.28191,08:44:03,-299.5,pre-test
0.379297,08:44:03,-299.25,pre-test
0.370327,08:44:03,-299.0,pre-test
0.448493,08:44:03,-298.75,pre-test
0.60995,08:44:04,-298.5,pre-test
0.138392,08:44:04,-298.25,pre-test
0.014096,08:44:04,-298.0,pre-test
0.012814,08:44:04,-297.75,pre-test
0.060226,08:44:05,-297.5,pre-test
0.01794,08:44:05,-297.25,pre-test
0.148643,08:44:05,-297.0,pre-test
0.274221,08:44:05,-296.75,pre-test
0.29985,08:44:06,-296.5,pre-test
0.406206,08:44:06,-296.25,pre-test
0.324196,08:44:06,-296.0,pre-test
0.304975,08:44:06,-295.75,pre-test
0.371608,08:44:07,-295.5,pre-test
0.325478,08:44:07,-295.25,pre-test
0.343417,08:44:07,-295.0,pre-test
0.339573,08:44:07,-294.75,pre-test
0.276784,08:44:08,-294.5,pre-test
0.252437,08:44:08,-294.25,pre-test
0.161457,08:44:08,-294.0,pre-test
0.608669,08:44:08,-293.75,pre-test
0.802162,08:44:09,-293.5,pre-test
0.379564,08:44:09,-293.25,pre-test
0.089966,08:44:09,-293.0,pre-test
0.651222,08:44:09,-292.75,pre-test
0.484639,08:44:10,-292.5,pre-test
0.0,08:44:10,-292.25,pre-test
0.829071,08:44:10,-292.0,pre-test
1.1766,08:44:10,-291.75,pre-test
0.318125,08:44:11,-291.5,pre-test
0.0,08:44:11,-291.25,pre-test
0.0,08:44:11,-291.0,pre-test
0.829071,08:44:11,-290.75,pre-test
0.0,08:44:12,-290.5,pre-test
0.180679,08:44:12,-290.25,pre-test
0.029472,08:44:12,-290.0,pre-test
0.116608,08:44:12,-289.75,pre-test
0.097387,08:44:13,-289.5,pre-test
0.35495,08:44:13,-289.25,pre-test
0.468995,08:44:13,-289.0,pre-test
0.475402,08:44:13,-288.75,pre-test
0.607388,08:44:14,-288.5,pre-test
0.715026,08:44:14,-288.25,pre-test
0.738358,08:44:14,-288.0,pre-test
0.740921,08:44:14,-287.75,pre-test
0.707604,08:44:15,-287.5,pre-test
0.561524,08:44:15,-287.25,pre-test
0.0,08:44:15,-287.0,pre-test
0.285754,08:44:15,-286.75,pre-test
0.439523,08:44:16,-286.5,pre-test
0.360076,08:44:16,-286.25,pre-test
0.580478,08:44:16,-286.0,pre-test
0.826508,08:44:16,-285.75,pre-test
0.853685,08:44:17,-285.5,pre-test
0.778082,08:44:17,-285.25,pre-test
0.787052,08:44:17,-285.0,pre-test
0.784489,08:44:17,-284.75,pre-test
0.746047,08:44:18,-284.5,pre-test
0.756298,08:44:18,-284.25,pre-test
0.687102,08:44:18,-284.0,pre-test
0.327026,08:44:18,-283.75,pre-test
0.137378,08:44:19,-283.5,pre-test
0.0,08:44:19,-283.25,pre-test
0.438242,08:44:19,-283.0,pre-test
0.0,08:44:19,-282.75,pre-test
0.0,08:44:20,-282.5,pre-test
0.0,08:44:20,-282.25,pre-test
0.0,08:44:20,-282.0,pre-test
0.003844,08:44:20,-281.75,pre-test
0.005126,08:44:21,-281.5,pre-test
0.005126,08:44:21,-281.25,pre-test
0.007688,08:44:21,-281.0,pre-test
0.007688,08:44:21,-280.75,pre-test
0.00897,08:44:22,-280.5,pre-test
0.00897,08:44:22,-280.25,pre-test
0.152488,08:44:22,-280.0,pre-test
0.161457,08:44:22,-279.75,pre-test
0.229372,08:44:23,-279.5,pre-test
0.238342,08:44:23,-279.25,pre-test
0.351106,08:44:23,-279.0,pre-test
0.260126,08:44:23,-278.75,pre-test
0.011533,08:44:24,-278.5,pre-test
0.011533,08:44:24,-278.25,pre-test
0.012814,08:44:24,-278.0,pre-test
0.010251,08:44:24,-277.75,pre-test
0.011533,08:44:25,-277.5,pre-test
0.051256,08:44:25,-277.25,pre-test
0.734247,08:44:25,-277.0,pre-test
0.830619,08:44:25,-276.75,pre-test
0.453885,08:44:26,-276.5,pre-test
0.0,08:44:26,-276.25,pre-test
0.0,08:44:26,-276.0,pre-test
0.0,08:44:26,-275.75,pre-test
0.0,08:44:27,-275.5,pre-test
0.0,08:44:27,-275.25,pre-test
0.001281,08:44:27,-275.0,pre-test
0.002563,08:44:27,-274.75,pre-test
0.030754,08:44:28,-274.5,pre-test
0.17299,08:44:28,-274.25,pre-test
0.084573,08:44:28,-274.0,pre-test
0.007688,08:44:28,-273.75,pre-test
0.034598,08:44:29,-273.5,pre-test
0.829071,08:44:29,-273.25,pre-test
0.833182,08:44:29,-273.0,pre-test
0.42185,08:44:29,-272.75,pre-test
0.128408,08:44:30,-272.5,pre-test
0.260393,08:44:30,-272.25,pre-test
0.293709,08:44:30,-272.0,pre-test
0.291147,08:44:30,-271.75,pre-test
0.292428,08:44:31,-271.5,pre-test
0.289865,08:44:31,-271.25,pre-test
0.291147,08:44:31,-271.0,pre-test
0.289865,08:44:31,-270.75,pre-test
0.289865,08:44:32,-270.5,pre-test
0.289865,08:44:32,-270.25,pre-test
0.294991,08:44:32,-270.0,pre-test
0.297554,08:44:32,-269.75,pre-test
0.288584,08:44:33,-269.5,pre-test
0.302679,08:44:33,-269.25,pre-test
0.391096,08:44:33,-269.0,pre-test
0.942102,08:44:33,-268.75,pre-test
0.036146,08:44:34,-268.5,pre-test
0.113031,08:44:34,-268.25,pre-test
0.146347,08:44:34,-268.0,pre-test
0.097654,08:44:34,-267.75,pre-test
0.0,08:44:35,-267.5,pre-test
0.0,08:44:35,-267.25,pre-test
0.0,08:44:35,-267.0,pre-test
0.0,08:44:35,-266.75,pre-test
0.0,08:44:36,-266.5,pre-test
0.497186,08:44:36,-266.25,pre-test
0.584322,08:44:36,-266.0,pre-test
0.583041,08:44:36,-265.75,pre-test
0.553568,08:44:37,-265.5,pre-test
0.715026,08:44:37,-265.25,pre-test
0.444916,08:44:37,-265.0,pre-test
0.0,08:44:37,-264.75,pre-test
0.0,08:44:38,-264.5,pre-test
0.0,08:44:38,-264.25,pre-test
0.360076,08:44:38,-264.0,pre-test
0.703493,08:44:38,-263.75,pre-test
0.744765,08:44:39,-263.5,pre-test
1.088183,08:44:39,-263.25,pre-test
0.324532,08:44:39,-263.0,pre-test
0.265518,08:44:39,-262.75,pre-test
0.0,08:44:40,-262.5,pre-test
0.0,08:44:40,-262.25,pre-test
0.0,08:44:40,-262.0,pre-test
0.0,08:44:40,-261.75,pre-test
0.0,08:44:41,-261.5,pre-test
0.0,08:44:41,-261.25,pre-test
0.003844,08:44:41,-261.0,pre-test
0.003844,08:44:41,-260.75,pre-test
0.652237,08:44:42,-260.5,pre-test
0.741935,08:44:42,-260.25,pre-test
0.3219,08:44:42,-260.0,pre-test
0.542303,08:44:42,-259.75,pre-test
0.826775,08:44:43,-259.5,pre-test
0.774238,08:44:43,-259.25,pre-test
1.04077,08:44:43,-259.0,pre-test
0.662824,08:44:43,-258.75,pre-test
0.319407,08:44:44,-258.5,pre-test
0.0,08:44:44,-258.25,pre-test
0.0,08:44:44,-258.0,pre-test
0.0,08:44:44,-257.75,pre-test
0.0,08:44:45,-257.5,pre-test
0.00897,08:44:45,-257.25,pre-test
0.051256,08:44:45,-257.0,pre-test
0.07304,08:44:45,-256.75,pre-test
0.115327,08:44:46,-256.5,pre-test
0.065352,08:44:46,-256.25,pre-test
0.007688,08:44:46,-256.0,pre-test
0.049975,08:44:46,-255.75,pre-test
0.107638,08:44:47,-255.5,pre-test
0.133266,08:44:47,-255.25,pre-test
0.128141,08:44:47,-255.0,pre-test
0.142236,08:44:47,-254.75,pre-test
0.142236,08:44:48,-254.5,pre-test
0.161457,08:44:48,-254.25,pre-test
0.219121,08:44:48,-254.0,pre-test
0.220402,08:44:48,-253.75,pre-test
0.19093,08:44:49,-253.5,pre-test
0.18196,08:44:49,-253.25,pre-test
0.176834,08:44:49,-253.0,pre-test
0.137111,08:44:49,-252.75,pre-test
0.012814,08:44:50,-252.5,pre-test
0.041005,08:44:50,-252.25,pre-test
0.012814,08:44:50,-252.0,pre-test
0.014096,08:44:50,-251.75,pre-test
0.010251,08:44:51,-251.5,pre-test
0.034598,08:44:51,-251.25,pre-test
0.023065,08:44:51,-251.0,pre-test
0.012814,08:44:51,-250.75,pre-test
0.011533,08:44:52,-250.5,pre-test
0.014096,08:44:52,-250.25,pre-test
0.011533,08:44:52,-250.0,pre-test
0.012814,08:44:52,-249.75,pre-test
0.011533,08:44:53,-249.5,pre-test
0.029472,08:44:53,-249.25,pre-test
0.016658,08:44:53,-249.0,pre-test
0.011533,08:44:53,-248.75,pre-test
0.012814,08:44:54,-248.5,pre-test
0.011533,08:44:54,-248.25,pre-test
0.044849,08:44:54,-248.0,pre-test
0.043568,08:44:54,-247.75,pre-test
0.096106,08:44:55,-247.5,pre-test
0.219121,08:44:55,-247.25,pre-test
0.330603,08:44:55,-247.0,pre-test
0.11789,08:44:55,-246.75,pre-test
0.153769,08:44:56,-246.5,pre-test
0.101231,08:44:56,-246.25,pre-test
0.310101,08:44:56,-246.0,pre-test
0.38186,08:44:56,-245.75,pre-test
0.221684,08:44:57,-245.5,pre-test
0.194774,08:44:57,-245.25,pre-test
0.275503,08:44:57,-245.0,pre-test
0.339573,08:44:57,-244.75,pre-test
0.058945,08:44:58,-244.5,pre-test
0.012814,08:44:58,-244.25,pre-test
0.012814,08:44:58,-244.0,pre-test
0.024347,08:44:58,-243.75,pre-test
0.06407,08:44:59,-243.5,pre-test
0.125578,08:44:59,-243.25,pre-test
0.202463,08:44:59,-243.0,pre-test
0.249875,08:44:59,-242.75,pre-test
0.249875,08:45:00,-242.5,pre-test
0.219121,08:45:00,-242.25,pre-test
0.076885,08:45:00,-242.0,pre-test
