HR,timestamp,period,time_seconds
98.07,08:45:57,pre-test,-300
97.5,08:45:58,pre-test,-299
96.88,08:45:59,pre-test,-298
96.28,08:46:00,pre-test,-297
95.72,08:46:01,pre-test,-296
95.17,08:46:02,pre-test,-295
94.62,08:46:03,pre-test,-294
94.23,08:46:04,pre-test,-293
94.0,08:46:05,pre-test,-292
93.65,08:46:06,pre-test,-291
93.4,08:46:07,pre-test,-290
93.08,08:46:08,pre-test,-289
92.78,08:46:09,pre-test,-288
92.38,08:46:10,pre-test,-287
91.97,08:46:11,pre-test,-286
91.55,08:46:12,pre-test,-285
91.38,08:46:13,pre-test,-284
91.28,08:46:14,pre-test,-283
91.13,08:46:15,pre-test,-282
90.97,08:46:16,pre-test,-281
90.87,08:46:17,pre-test,-280
90.88,08:46:18,pre-test,-279
90.9,08:46:19,pre-test,-278
90.88,08:46:20,pre-test,-277
91.02,08:46:21,pre-test,-276
91.1,08:46:22,pre-test,-275
91.23,08:46:23,pre-test,-274
91.23,08:46:24,pre-test,-273
91.22,08:46:25,pre-test,-272
91.2,08:46:26,pre-test,-271
91.25,08:46:27,pre-test,-270
91.02,08:46:28,pre-test,-269
90.77,08:46:29,pre-test,-268
90.55,08:46:30,pre-test,-267
90.12,08:46:31,pre-test,-266
89.67,08:46:32,pre-test,-265
89.07,08:46:33,pre-test,-264
88.38,08:46:34,pre-test,-263
87.75,08:46:35,pre-test,-262
87.12,08:46:36,pre-test,-261
86.48,08:46:37,pre-test,-260
85.97,08:46:38,pre-test,-259
85.48,08:46:39,pre-test,-258
85.02,08:46:40,pre-test,-257
84.53,08:46:41,pre-test,-256
84.03,08:46:42,pre-test,-255
83.55,08:46:43,pre-test,-254
83.07,08:46:44,pre-test,-253
82.58,08:46:45,pre-test,-252
82.37,08:46:46,pre-test,-251
82.1,08:46:47,pre-test,-250
81.95,08:46:48,pre-test,-249
81.83,08:46:49,pre-test,-248
81.82,08:46:50,pre-test,-247
81.9,08:46:51,pre-test,-246
82.0,08:46:52,pre-test,-245
81.93,08:46:53,pre-test,-244
82.02,08:46:54,pre-test,-243
82.12,08:46:55,pre-test,-242
82.23,08:46:56,pre-test,-241
82.38,08:46:57,pre-test,-240
82.45,08:46:58,pre-test,-239
82.53,08:46:59,pre-test,-238
82.6,08:47:00,pre-test,-237
82.7,08:47:01,pre-test,-236
82.77,08:47:02,pre-test,-235
82.8,08:47:03,pre-test,-234
82.6,08:47:04,pre-test,-233
82.23,08:47:05,pre-test,-232
81.93,08:47:06,pre-test,-231
81.63,08:47:07,pre-test,-230
81.42,08:47:08,pre-test,-229
81.15,08:47:09,pre-test,-228
80.85,08:47:10,pre-test,-227
80.68,08:47:11,pre-test,-226
80.53,08:47:12,pre-test,-225
80.3,08:47:13,pre-test,-224
80.02,08:47:14,pre-test,-223
79.75,08:47:15,pre-test,-222
79.57,08:47:16,pre-test,-221
79.37,08:47:17,pre-test,-220
79.13,08:47:18,pre-test,-219
78.85,08:47:19,pre-test,-218
78.55,08:47:20,pre-test,-217
78.17,08:47:21,pre-test,-216
77.83,08:47:22,pre-test,-215
77.47,08:47:23,pre-test,-214
77.08,08:47:24,pre-test,-213
76.65,08:47:25,pre-test,-212
76.18,08:47:26,pre-test,-211
75.7,08:47:27,pre-test,-210
75.52,08:47:28,pre-test,-209
75.22,08:47:29,pre-test,-208
74.87,08:47:30,pre-test,-207
74.5,08:47:31,pre-test,-206
74.08,08:47:32,pre-test,-205
73.95,08:47:33,pre-test,-204
73.95,08:47:34,pre-test,-203
74.0,08:47:35,pre-test,-202
74.1,08:47:36,pre-test,-201
74.12,08:47:37,pre-test,-200
74.17,08:47:38,pre-test,-199
74.18,08:47:39,pre-test,-198
74.22,08:47:40,pre-test,-197
74.3,08:47:41,pre-test,-196
74.38,08:47:42,pre-test,-195
74.45,08:47:43,pre-test,-194
74.53,08:47:44,pre-test,-193
74.6,08:47:45,pre-test,-192
74.68,08:47:46,pre-test,-191
74.73,08:47:47,pre-test,-190
74.72,08:47:48,pre-test,-189
74.7,08:47:49,pre-test,-188
74.63,08:47:50,pre-test,-187
74.52,08:47:51,pre-test,-186
74.4,08:47:52,pre-test,-185
74.55,08:47:53,pre-test,-184
74.55,08:47:54,pre-test,-183
74.57,08:47:55,pre-test,-182
74.57,08:47:56,pre-test,-181
74.6,08:47:57,pre-test,-180
74.7,08:47:58,pre-test,-179
74.8,08:47:59,pre-test,-178
74.93,08:48:00,pre-test,-177
75.02,08:48:01,pre-test,-176
75.2,08:48:02,pre-test,-175
75.45,08:48:03,pre-test,-174
75.73,08:48:04,pre-test,-173
76.03,08:48:05,pre-test,-172
76.33,08:48:06,pre-test,-171
76.58,08:48:07,pre-test,-170
76.8,08:48:08,pre-test,-169
77.07,08:48:09,pre-test,-168
77.3,08:48:10,pre-test,-167
77.48,08:48:11,pre-test,-166
77.68,08:48:12,pre-test,-165
77.92,08:48:13,pre-test,-164
78.17,08:48:14,pre-test,-163
78.4,08:48:15,pre-test,-162
78.58,08:48:16,pre-test,-161
78.73,08:48:17,pre-test,-160
78.73,08:48:18,pre-test,-159
78.65,08:48:19,pre-test,-158
78.62,08:48:20,pre-test,-157
78.55,08:48:21,pre-test,-156
78.5,08:48:22,pre-test,-155
78.38,08:48:23,pre-test,-154
78.32,08:48:24,pre-test,-153
78.27,08:48:25,pre-test,-152
78.23,08:48:26,pre-test,-151
78.17,08:48:27,pre-test,-150
78.08,08:48:28,pre-test,-149
78.1,08:48:29,pre-test,-148
78.13,08:48:30,pre-test,-147
78.22,08:48:31,pre-test,-146
78.35,08:48:32,pre-test,-145
78.35,08:48:33,pre-test,-144
78.33,08:48:34,pre-test,-143
78.25,08:48:35,pre-test,-142
78.15,08:48:36,pre-test,-141
78.15,08:48:37,pre-test,-140
78.13,08:48:38,pre-test,-139
78.1,08:48:39,pre-test,-138
78.05,08:48:40,pre-test,-137
78.0,08:48:41,pre-test,-136
77.95,08:48:42,pre-test,-135
77.93,08:48:43,pre-test,-134
77.92,08:48:44,pre-test,-133
77.9,08:48:45,pre-test,-132
77.88,08:48:46,pre-test,-131
77.98,08:48:47,pre-test,-130
78.07,08:48:48,pre-test,-129
78.13,08:48:49,pre-test,-128
78.22,08:48:50,pre-test,-127
78.3,08:48:51,pre-test,-126
78.4,08:48:52,pre-test,-125
78.35,08:48:53,pre-test,-124
78.3,08:48:54,pre-test,-123
78.25,08:48:55,pre-test,-122
78.18,08:48:56,pre-test,-121
78.1,08:48:57,pre-test,-120
78.05,08:48:58,pre-test,-119
77.98,08:48:59,pre-test,-118
77.92,08:49:00,pre-test,-117
77.87,08:49:01,pre-test,-116
77.78,08:49:02,pre-test,-115
77.6,08:49:03,pre-test,-114
77.38,08:49:04,pre-test,-113
77.17,08:49:05,pre-test,-112
76.93,08:49:06,pre-test,-111
76.68,08:49:07,pre-test,-110
76.47,08:49:08,pre-test,-109
76.28,08:49:09,pre-test,-108
76.13,08:49:10,pre-test,-107
75.95,08:49:11,pre-test,-106
75.73,08:49:12,pre-test,-105
75.55,08:49:13,pre-test,-104
75.35,08:49:14,pre-test,-103
75.18,08:49:15,pre-test,-102
75.03,08:49:16,pre-test,-101
74.9,08:49:17,pre-test,-100
74.82,08:49:18,pre-test,-99
74.92,08:49:19,pre-test,-98
75.02,08:49:20,pre-test,-97
75.05,08:49:21,pre-test,-96
75.07,08:49:22,pre-test,-95
75.13,08:49:23,pre-test,-94
75.05,08:49:24,pre-test,-93
74.95,08:49:25,pre-test,-92
74.85,08:49:26,pre-test,-91
74.77,08:49:27,pre-test,-90
74.68,08:49:28,pre-test,-89
74.65,08:49:29,pre-test,-88
74.58,08:49:30,pre-test,-87
74.48,08:49:31,pre-test,-86
74.37,08:49:32,pre-test,-85
74.25,08:49:33,pre-test,-84
74.13,08:49:34,pre-test,-83
74.03,08:49:35,pre-test,-82
73.97,08:49:36,pre-test,-81
73.88,08:49:37,pre-test,-80
73.82,08:49:38,pre-test,-79
73.83,08:49:39,pre-test,-78
73.9,08:49:40,pre-test,-77
73.97,08:49:41,pre-test,-76
74.0,08:49:42,pre-test,-75
74.02,08:49:43,pre-test,-74
73.98,08:49:44,pre-test,-73
73.95,08:49:45,pre-test,-72
73.9,08:49:46,pre-test,-71
73.73,08:49:47,pre-test,-70
73.57,08:49:48,pre-test,-69
73.63,08:49:49,pre-test,-68
73.73,08:49:50,pre-test,-67
73.85,08:49:51,pre-test,-66
73.97,08:49:52,pre-test,-65
74.08,08:49:53,pre-test,-64
74.27,08:49:54,pre-test,-63
74.47,08:49:55,pre-test,-62
74.75,08:49:56,pre-test,-61
75.0,08:49:57,pre-test,-60
75.13,08:49:58,pre-test,-59
75.28,08:49:59,pre-test,-58
75.42,08:50:00,pre-test,-57
75.53,08:50:01,pre-test,-56
75.63,08:50:02,pre-test,-55
75.78,08:50:03,pre-test,-54
75.98,08:50:04,pre-test,-53
76.17,08:50:05,pre-test,-52
76.4,08:50:06,pre-test,-51
76.6,08:50:07,pre-test,-50
76.73,08:50:08,pre-test,-49
76.83,08:50:09,pre-test,-48
76.97,08:50:10,pre-test,-47
77.08,08:50:11,pre-test,-46
77.23,08:50:12,pre-test,-45
77.32,08:50:13,pre-test,-44
77.47,08:50:14,pre-test,-43
77.63,08:50:15,pre-test,-42
77.78,08:50:16,pre-test,-41
77.93,08:50:17,pre-test,-40
78.07,08:50:18,pre-test,-39
78.17,08:50:19,pre-test,-38
78.28,08:50:20,pre-test,-37
78.33,08:50:21,pre-test,-36
78.42,08:50:22,pre-test,-35
78.5,08:50:23,pre-test,-34
78.73,08:50:24,pre-test,-33
78.68,08:50:25,pre-test,-32
78.65,08:50:26,pre-test,-31
78.62,08:50:27,pre-test,-30
78.53,08:50:28,pre-test,-29
78.43,08:50:29,pre-test,-28
78.48,08:50:30,pre-test,-27
78.5,08:50:31,pre-test,-26
78.53,08:50:32,pre-test,-25
78.55,08:50:33,pre-test,-24
78.6,08:50:34,pre-test,-23
78.65,08:50:35,pre-test,-22
78.85,08:50:36,pre-test,-21
79.02,08:50:37,pre-test,-20
79.18,08:50:38,pre-test,-19
79.3,08:50:39,pre-test,-18
79.37,08:50:40,pre-test,-17
79.42,08:50:41,pre-test,-16
79.4,08:50:42,pre-test,-15
79.38,08:50:43,pre-test,-14
79.37,08:50:44,pre-test,-13
79.43,08:50:45,pre-test,-12
79.55,08:50:46,pre-test,-11
79.63,08:50:47,pre-test,-10
79.75,08:50:48,pre-test,-9
79.6,08:50:49,pre-test,-8
79.42,08:50:50,pre-test,-7
79.22,08:50:51,pre-test,-6
79.47,08:50:52,pre-test,-5
79.75,08:50:53,pre-test,-4
79.97,08:50:54,pre-test,-3
80.12,08:50:55,pre-test,-2
80.2,08:50:56,pre-test,-1
80.32,08:50:57,in-test,0
80.45,08:50:58,in-test,1
80.43,08:50:59,in-test,2
80.4,08:51:00,in-test,3
80.33,08:51:01,in-test,4
80.22,08:51:02,in-test,5
80.07,08:51:03,in-test,6
79.93,08:51:04,in-test,7
79.78,08:51:05,in-test,8
79.68,08:51:06,in-test,9
79.65,08:51:07,in-test,10
79.68,08:51:08,in-test,11
79.6,08:51:09,in-test,12
79.52,08:51:10,in-test,13
79.52,08:51:11,in-test,14
79.63,08:51:12,in-test,15
79.68,08:51:13,in-test,16
79.73,08:51:14,in-test,17
79.68,08:51:15,in-test,18
79.62,08:51:16,in-test,19
79.55,08:51:17,in-test,20
79.47,08:51:18,in-test,21
79.35,08:51:19,in-test,22
79.22,08:51:20,in-test,23
79.23,08:51:21,in-test,24
79.18,08:51:22,in-test,25
79.13,08:51:23,in-test,26
79.05,08:51:24,in-test,27
79.32,08:51:25,in-test,28
79.53,08:51:26,in-test,29
79.78,08:51:27,in-test,30
80.1,08:51:28,in-test,31
80.42,08:51:29,in-test,32
80.65,08:51:30,in-test,33
80.9,08:51:31,in-test,34
80.97,08:51:32,in-test,35
81.0,08:51:33,in-test,36
81.02,08:51:34,in-test,37
81.02,08:51:35,in-test,38
80.85,08:51:36,in-test,39
80.7,08:51:37,in-test,40
80.57,08:51:38,in-test,41
80.47,08:51:39,in-test,42
80.4,08:51:40,in-test,43
80.37,08:51:41,in-test,44
80.45,08:51:42,in-test,45
80.57,08:51:43,in-test,46
80.73,08:51:44,in-test,47
80.82,08:51:45,in-test,48
80.87,08:51:46,in-test,49
81.07,08:51:47,in-test,50
81.17,08:51:48,in-test,51
81.25,08:51:49,in-test,52
81.37,08:51:50,in-test,53
81.5,08:51:51,in-test,54
81.2,08:51:52,in-test,55
80.85,08:51:53,in-test,56
80.47,08:51:54,in-test,57
80.28,08:51:55,in-test,58
80.1,08:51:56,in-test,59
79.8,08:51:57,in-test,60
79.58,08:51:58,in-test,61
79.48,08:51:59,in-test,62
78.92,08:52:00,in-test,63
78.92,08:52:01,in-test,64
78.9,08:52:02,in-test,65
78.95,08:52:03,in-test,66
79.0,08:52:04,in-test,67
79.07,08:52:05,in-test,68
79.07,08:52:06,in-test,69
79.12,08:52:07,in-test,70
79.15,08:52:08,in-test,71
79.32,08:52:09,in-test,72
79.52,08:52:10,in-test,73
79.63,08:52:11,in-test,74
79.57,08:52:12,in-test,75
79.57,08:52:13,in-test,76
79.52,08:52:14,in-test,77
79.52,08:52:15,in-test,78
79.55,08:52:16,in-test,79
79.52,08:52:17,in-test,80
79.42,08:52:18,in-test,81
79.37,08:52:19,in-test,82
79.32,08:52:20,in-test,83
79.23,08:52:21,in-test,84
79.22,08:52:22,in-test,85
79.23,08:52:23,in-test,86
79.25,08:52:24,in-test,87
79.22,08:52:25,in-test,88
79.17,08:52:26,in-test,89
79.08,08:52:27,in-test,90
78.97,08:52:28,in-test,91
78.68,08:52:29,in-test,92
78.37,08:52:30,in-test,93
78.12,08:52:31,in-test,94
78.05,08:52:32,in-test,95
78.58,08:52:33,in-test,96
79.15,08:52:34,in-test,97
79.7,08:52:35,in-test,98
80.25,08:52:36,in-test,99
80.8,08:52:37,in-test,100
81.27,08:52:38,in-test,101
81.6,08:52:39,in-test,102
81.92,08:52:40,in-test,103
82.23,08:52:41,in-test,104
82.52,08:52:42,in-test,105
82.77,08:52:43,in-test,106
83.03,08:52:44,in-test,107
83.3,08:52:45,in-test,108
83.55,08:52:46,in-test,109
83.55,08:52:47,in-test,110
83.63,08:52:48,in-test,111
83.78,08:52:49,in-test,112
83.95,08:52:50,in-test,113
84.12,08:52:51,in-test,114
84.28,08:52:52,in-test,115
84.42,08:52:53,in-test,116
84.45,08:52:54,in-test,117
84.3,08:52:55,in-test,118
84.27,08:52:56,in-test,119
84.25,08:52:57,in-test,120
84.18,08:52:58,in-test,121
84.17,08:52:59,in-test,122
84.67,08:53:00,in-test,123
84.65,08:53:01,in-test,124
84.68,08:53:02,in-test,125
84.7,08:53:03,in-test,126
84.7,08:53:04,in-test,127
84.72,08:53:05,in-test,128
84.82,08:53:06,in-test,129
84.85,08:53:07,in-test,130
84.85,08:53:08,in-test,131
84.82,08:53:09,in-test,132
84.77,08:53:10,in-test,133
84.75,08:53:11,in-test,134
84.8,08:53:12,in-test,135
84.85,08:53:13,in-test,136
84.93,08:53:14,in-test,137
85.03,08:53:15,in-test,138
85.12,08:53:16,in-test,139
85.27,08:53:17,in-test,140
85.52,08:53:18,in-test,141
85.82,08:53:19,in-test,142
86.08,08:53:20,in-test,143
86.35,08:53:21,in-test,144
86.58,08:53:22,in-test,145
86.78,08:53:23,in-test,146
87.03,08:53:24,in-test,147
87.3,08:53:25,in-test,148
87.63,08:53:26,in-test,149
87.97,08:53:27,in-test,150
88.33,08:53:28,in-test,151
88.9,08:53:29,in-test,152
