HR,timestamp,period,time_seconds
89.83,10:49:48,pre-test,-300
89.63,10:49:49,pre-test,-299
89.6,10:49:50,pre-test,-298
89.57,10:49:51,pre-test,-297
89.62,10:49:52,pre-test,-296
89.63,10:49:53,pre-test,-295
89.67,10:49:54,pre-test,-294
89.68,10:49:55,pre-test,-293
89.75,10:49:56,pre-test,-292
89.82,10:49:57,pre-test,-291
89.78,10:49:58,pre-test,-290
89.73,10:49:59,pre-test,-289
89.73,10:50:00,pre-test,-288
89.73,10:50:01,pre-test,-287
89.72,10:50:02,pre-test,-286
89.6,10:50:03,pre-test,-285
89.4,10:50:04,pre-test,-284
89.17,10:50:05,pre-test,-283
88.92,10:50:06,pre-test,-282
88.67,10:50:07,pre-test,-281
88.38,10:50:08,pre-test,-280
88.05,10:50:09,pre-test,-279
87.73,10:50:10,pre-test,-278
87.47,10:50:11,pre-test,-277
87.18,10:50:12,pre-test,-276
86.95,10:50:13,pre-test,-275
86.73,10:50:14,pre-test,-274
86.5,10:50:15,pre-test,-273
86.37,10:50:16,pre-test,-272
86.38,10:50:17,pre-test,-271
86.42,10:50:18,pre-test,-270
86.45,10:50:19,pre-test,-269
86.45,10:50:20,pre-test,-268
86.43,10:50:21,pre-test,-267
86.42,10:50:22,pre-test,-266
86.43,10:50:23,pre-test,-265
85.97,10:50:24,pre-test,-264
85.85,10:50:25,pre-test,-263
85.77,10:50:26,pre-test,-262
84.92,10:50:27,pre-test,-261
84.95,10:50:28,pre-test,-260
84.93,10:50:29,pre-test,-259
84.93,10:50:30,pre-test,-258
84.87,10:50:31,pre-test,-257
84.82,10:50:32,pre-test,-256
84.75,10:50:33,pre-test,-255
83.95,10:50:34,pre-test,-254
82.85,10:50:35,pre-test,-253
81.82,10:50:36,pre-test,-252
80.48,10:50:37,pre-test,-251
79.12,10:50:38,pre-test,-250
77.72,10:50:39,pre-test,-249
76.28,10:50:40,pre-test,-248
74.75,10:50:41,pre-test,-247
73.2,10:50:42,pre-test,-246
71.85,10:50:43,pre-test,-245
72.1,10:50:44,pre-test,-244
72.38,10:50:45,pre-test,-243
72.72,10:50:46,pre-test,-242
73.08,10:50:47,pre-test,-241
73.35,10:50:48,pre-test,-240
73.63,10:50:49,pre-test,-239
73.8,10:50:50,pre-test,-238
73.93,10:50:51,pre-test,-237
73.95,10:50:52,pre-test,-236
74.0,10:50:53,pre-test,-235
73.98,10:50:54,pre-test,-234
73.95,10:50:55,pre-test,-233
73.88,10:50:56,pre-test,-232
73.83,10:50:57,pre-test,-231
