EDA,timestamp,time_seconds,period
0.0,10:47:57,-300.0,pre-test
0.0,10:47:57,-299.75,pre-test
0.140921,10:47:57,-299.5,pre-test
0.087115,10:47:57,-299.25,pre-test
0.299777,10:47:58,-299.0,pre-test
0.41892,10:47:58,-298.75,pre-test
0.517564,10:47:58,-298.5,pre-test
0.813498,10:47:58,-298.25,pre-test
1.164786,10:47:59,-298.0,pre-test
1.344209,10:47:59,-297.75,pre-test
1.214818,10:47:59,-297.5,pre-test
0.676757,10:47:59,-297.25,pre-test
0.327016,10:48:00,-297.0,pre-test
0.0,10:48:00,-296.75,pre-test
0.189603,10:48:00,-296.5,pre-test
0.225474,10:48:00,-296.25,pre-test
0.251096,10:48:01,-296.0,pre-test
0.243409,10:48:01,-295.75,pre-test
0.199852,10:48:01,-295.5,pre-test
0.196008,10:48:01,-295.25,pre-test
0.217787,10:48:02,-295.0,pre-test
0.140921,10:48:02,-294.75,pre-test
0.148608,10:48:02,-294.5,pre-test
0.161419,10:48:02,-294.25,pre-test
0.17423,10:48:03,-294.0,pre-test
0.17423,10:48:03,-293.75,pre-test
0.178073,10:48:03,-293.5,pre-test
0.181916,10:48:03,-293.25,pre-test
0.180635,10:48:04,-293.0,pre-test
0.204976,10:48:04,-292.75,pre-test
0.193446,10:48:04,-292.5,pre-test
0.021779,10:48:04,-292.25,pre-test
0.001281,10:48:05,-292.0,pre-test
0.040995,10:48:05,-291.75,pre-test
0.014092,10:48:05,-291.5,pre-test
0.061493,10:48:05,-291.25,pre-test
0.065336,10:48:06,-291.0,pre-test
0.035871,10:48:06,-290.75,pre-test
0.043557,10:48:06,-290.5,pre-test
0.051244,10:48:06,-290.25,pre-test
0.056368,10:48:07,-290.0,pre-test
0.067898,10:48:07,-289.75,pre-test
0.069179,10:48:07,-289.5,pre-test
0.069179,10:48:07,-289.25,pre-test
0.066617,10:48:08,-289.0,pre-test
0.064055,10:48:08,-288.75,pre-test
0.070461,10:48:08,-288.5,pre-test
0.074304,10:48:08,-288.25,pre-test
0.074304,10:48:09,-288.0,pre-test
0.078147,10:48:09,-287.75,pre-test
0.108894,10:48:09,-287.5,pre-test
0.281842,10:48:09,-287.25,pre-test
0.400984,10:48:10,-287.0,pre-test
0.204976,10:48:10,-286.75,pre-test
0.005124,10:48:10,-286.5,pre-test
0.131953,10:48:10,-286.25,pre-test
0.153732,10:48:11,-286.0,pre-test
0.149889,10:48:11,-285.75,pre-test
0.157575,10:48:11,-285.5,pre-test
0.163981,10:48:11,-285.25,pre-test
0.166543,10:48:12,-285.0,pre-test
0.167824,10:48:12,-284.75,pre-test
0.166543,10:48:12,-284.5,pre-test
0.170386,10:48:12,-284.25,pre-test
0.167824,10:48:13,-284.0,pre-test
0.163981,10:48:13,-283.75,pre-test
0.126829,10:48:13,-283.5,pre-test
0.124267,10:48:13,-283.25,pre-test
0.129391,10:48:14,-283.0,pre-test
0.107612,10:48:14,-282.75,pre-test
0.056368,10:48:14,-282.5,pre-test
0.019217,10:48:14,-282.25,pre-test
0.001281,10:48:15,-282.0,pre-test
0.124267,10:48:15,-281.75,pre-test
0.13964,10:48:15,-281.5,pre-test
0.040995,10:48:15,-281.25,pre-test
0.005124,10:48:16,-281.0,pre-test
0.0,10:48:16,-280.75,pre-test
0.0,10:48:16,-280.5,pre-test
0.0,10:48:16,-280.25,pre-test
0.002562,10:48:17,-280.0,pre-test
0.002562,10:48:17,-279.75,pre-test
0.0,10:48:17,-279.5,pre-test
0.002562,10:48:17,-279.25,pre-test
0.006406,10:48:18,-279.0,pre-test
0.0,10:48:18,-278.75,pre-test
0.513721,10:48:18,-278.5,pre-test
0.832715,10:48:18,-278.25,pre-test
0.549859,10:48:19,-278.0,pre-test
0.0,10:48:19,-277.75,pre-test
0.05765,10:48:19,-277.5,pre-test
0.192165,10:48:19,-277.25,pre-test
0.144764,10:48:20,-277.0,pre-test
0.122986,10:48:20,-276.75,pre-test
0.055087,10:48:20,-276.5,pre-test
0.069179,10:48:20,-276.25,pre-test
0.075585,10:48:21,-276.0,pre-test
0.084553,10:48:21,-275.75,pre-test
0.090958,10:48:21,-275.5,pre-test
0.103769,10:48:21,-275.25,pre-test
0.10505,10:48:22,-275.0,pre-test
0.080709,10:48:22,-274.75,pre-test
0.080709,10:48:22,-274.5,pre-test
0.094801,10:48:22,-274.25,pre-test
0.074304,10:48:23,-274.0,pre-test
0.083272,10:48:23,-273.75,pre-test
0.108894,10:48:23,-273.5,pre-test
0.115299,10:48:23,-273.25,pre-test
0.125548,10:48:24,-273.0,pre-test
0.121704,10:48:24,-272.75,pre-test
0.05765,10:48:24,-272.5,pre-test
0.12811,10:48:24,-272.25,pre-test
0.321556,10:48:25,-272.0,pre-test
0.325399,10:48:25,-271.75,pre-test
0.34974,10:48:25,-271.5,pre-test
0.441979,10:48:25,-271.25,pre-test
0.484256,10:48:26,-271.0,pre-test
0.497067,10:48:26,-270.75,pre-test
0.490661,10:48:26,-270.5,pre-test
0.550873,10:48:26,-270.25,pre-test
0.581619,10:48:27,-270.0,pre-test
0.608522,10:48:27,-269.75,pre-test
0.613647,10:48:27,-269.5,pre-test
0.632863,10:48:27,-269.25,pre-test
0.645674,10:48:28,-269.0,pre-test
0.654642,10:48:28,-268.75,pre-test
0.666172,10:48:28,-268.5,pre-test
0.658485,10:48:28,-268.25,pre-test
0.67514,10:48:29,-268.0,pre-test
0.599822,10:48:29,-267.75,pre-test
0.544734,10:48:29,-267.5,pre-test
0.554983,10:48:29,-267.25,pre-test
0.548578,10:48:30,-267.0,pre-test
0.485804,10:48:30,-266.75,pre-test
0.496052,10:48:30,-266.5,pre-test
0.530642,10:48:30,-266.25,pre-test
0.537048,10:48:31,-266.0,pre-test
0.540891,10:48:31,-265.75,pre-test
0.558826,10:48:31,-265.5,pre-test
0.561389,10:48:31,-265.25,pre-test
0.547296,10:48:32,-265.0,pre-test
0.419186,10:48:32,-264.75,pre-test
0.407657,10:48:32,-264.5,pre-test
0.447371,10:48:32,-264.25,pre-test
0.435841,10:48:33,-264.0,pre-test
0.442246,10:48:33,-263.75,pre-test
0.455057,10:48:33,-263.5,pre-test
0.464025,10:48:33,-263.25,pre-test
0.465306,10:48:34,-263.0,pre-test
0.479398,10:48:34,-262.75,pre-test
0.18987,10:48:34,-262.5,pre-test
0.346164,10:48:34,-262.25,pre-test
0.472993,10:48:35,-262.0,pre-test
0.511426,10:48:35,-261.75,pre-test
0.583167,10:48:35,-261.5,pre-test
0.592135,10:48:35,-261.25,pre-test
0.588292,10:48:36,-261.0,pre-test
0.592135,10:48:36,-260.75,pre-test
0.595978,10:48:36,-260.5,pre-test
0.601103,10:48:36,-260.25,pre-test
0.604946,10:48:37,-260.0,pre-test
0.606227,10:48:37,-259.75,pre-test
0.611351,10:48:37,-259.5,pre-test
0.612633,10:48:37,-259.25,pre-test
0.615195,10:48:38,-259.0,pre-test
0.616476,10:48:38,-258.75,pre-test
0.617757,10:48:38,-258.5,pre-test
0.617757,10:48:38,-258.25,pre-test
0.6216,10:48:39,-258.0,pre-test
0.624162,10:48:39,-257.75,pre-test
0.640817,10:48:39,-257.5,pre-test
0.71512,10:48:39,-257.25,pre-test
0.6216,10:48:40,-257.0,pre-test
0.592135,10:48:40,-256.75,pre-test
0.630568,10:48:40,-256.5,pre-test
0.634411,10:48:40,-256.25,pre-test
0.631849,10:48:41,-256.0,pre-test
0.6216,10:48:41,-255.75,pre-test
0.589573,10:48:41,-255.5,pre-test
0.585729,10:48:41,-255.25,pre-test
0.000267,10:48:42,-255.0,pre-test
0.033309,10:48:42,-254.75,pre-test
0.425325,10:48:42,-254.5,pre-test
0.422763,10:48:42,-254.25,pre-test
0.311307,10:48:43,-254.0,pre-test
0.117861,10:48:43,-253.75,pre-test
0.0,10:48:43,-253.5,pre-test
0.0,10:48:43,-253.25,pre-test
0.0,10:48:44,-253.0,pre-test
0.0,10:48:44,-252.75,pre-test
0.0,10:48:44,-252.5,pre-test
0.38433,10:48:44,-252.25,pre-test
0.769941,10:48:45,-252.0,pre-test
0.762521,10:48:45,-251.75,pre-test
0.0,10:48:45,-251.5,pre-test
0.0,10:48:45,-251.25,pre-test
0.0,10:48:46,-251.0,pre-test
0.242128,10:48:46,-250.75,pre-test
0.102488,10:48:46,-250.5,pre-test
0.193446,10:48:46,-250.25,pre-test
0.138359,10:48:47,-250.0,pre-test
0.125548,10:48:47,-249.75,pre-test
0.13964,10:48:47,-249.5,pre-test
0.0,10:48:47,-249.25,pre-test
0.044839,10:48:48,-249.0,pre-test
0.315151,10:48:48,-248.75,pre-test
0.703324,10:48:48,-248.5,pre-test
0.812484,10:48:48,-248.25,pre-test
1.055893,10:48:49,-248.0,pre-test
0.324454,10:48:49,-247.75,pre-test
0.0,10:48:49,-247.5,pre-test
0.0,10:48:49,-247.25,pre-test
0.014092,10:48:50,-247.0,pre-test
0.833996,10:48:50,-246.75,pre-test
0.032294,10:48:50,-246.5,pre-test
0.053806,10:48:50,-246.25,pre-test
0.540624,10:48:51,-246.0,pre-test
0.65208,10:48:51,-245.75,pre-test
0.488099,10:48:51,-245.5,pre-test
0.618771,10:48:51,-245.25,pre-test
0.508597,10:48:52,-245.0,pre-test
0.073023,10:48:52,-244.75,pre-test
0.020498,10:48:52,-244.5,pre-test
0.215225,10:48:52,-244.25,pre-test
0.04612,10:48:53,-244.0,pre-test
0.0,10:48:53,-243.75,pre-test
0.329243,10:48:53,-243.5,pre-test
0.503472,10:48:53,-243.25,pre-test
0.249814,10:48:54,-243.0,pre-test
0.133234,10:48:54,-242.75,pre-test
0.064055,10:48:54,-242.5,pre-test
0.24469,10:48:54,-242.25,pre-test
0.295934,10:48:55,-242.0,pre-test
0.304902,10:48:55,-241.75,pre-test
0.329243,10:48:55,-241.5,pre-test
0.303621,10:48:55,-241.25,pre-test
0.253658,10:48:56,-241.0,pre-test
0.229317,10:48:56,-240.75,pre-test
0.080709,10:48:56,-240.5,pre-test
0.147326,10:48:56,-240.25,pre-test
0.1627,10:48:57,-240.0,pre-test
0.026903,10:48:57,-239.75,pre-test
0.003843,10:48:57,-239.5,pre-test
0.219068,10:48:57,-239.25,pre-test
0.222911,10:48:58,-239.0,pre-test
0.140921,10:48:58,-238.75,pre-test
0.202414,10:48:58,-238.5,pre-test
0.618771,10:48:58,-238.25,pre-test
0.832715,10:48:59,-238.0,pre-test
0.966216,10:48:59,-237.75,pre-test
0.725369,10:48:59,-237.5,pre-test
0.0,10:48:59,-237.25,pre-test
0.0,10:49:00,-237.0,pre-test
0.265188,10:49:00,-236.75,pre-test
0.222911,10:49:00,-236.5,pre-test
0.381768,10:49:00,-236.25,pre-test
0.497067,10:49:01,-236.0,pre-test
0.773784,10:49:01,-235.75,pre-test
0.957248,10:49:01,-235.5,pre-test
