EDA,timestamp,period
0.0,07:57:13,pre-test
0.001281,07:57:13,pre-test
0.017935,07:57:13,pre-test
0.019217,07:57:13,pre-test
0.017935,07:57:14,pre-test
0.017935,07:57:14,pre-test
0.020498,07:57:14,pre-test
0.019217,07:57:14,pre-test
0.017935,07:57:15,pre-test
0.017935,07:57:15,pre-test
0.016654,07:57:15,pre-test
0.015373,07:57:15,pre-test
0.012811,07:57:16,pre-test
0.01153,07:57:16,pre-test
0.01153,07:57:16,pre-test
0.01153,07:57:16,pre-test
0.010249,07:57:17,pre-test
0.010249,07:57:17,pre-test
0.010249,07:57:17,pre-test
0.008968,07:57:17,pre-test
0.006406,07:57:18,pre-test
0.006406,07:57:18,pre-test
0.006406,07:57:18,pre-test
0.005124,07:57:18,pre-test
0.005124,07:57:19,pre-test
0.006406,07:57:19,pre-test
0.005124,07:57:19,pre-test
0.005124,07:57:19,pre-test
0.006406,07:57:20,pre-test
0.005124,07:57:20,pre-test
0.002562,07:57:20,pre-test
0.002562,07:57:20,pre-test
0.002562,07:57:21,pre-test
0.002562,07:57:21,pre-test
0.002562,07:57:21,pre-test
0.003843,07:57:21,pre-test
0.003843,07:57:22,pre-test
0.002562,07:57:22,pre-test
0.002562,07:57:22,pre-test
0.003843,07:57:22,pre-test
0.001281,07:57:23,pre-test
0.001281,07:57:23,pre-test
0.001281,07:57:23,pre-test
0.001281,07:57:23,pre-test
0.001281,07:57:24,pre-test
0.002562,07:57:24,pre-test
0.002562,07:57:24,pre-test
0.002562,07:57:24,pre-test
0.002562,07:57:25,pre-test
0.002562,07:57:25,pre-test
0.002562,07:57:25,pre-test
0.0,07:57:25,pre-test
0.001281,07:57:26,pre-test
0.0,07:57:26,pre-test
0.0,07:57:26,pre-test
0.001281,07:57:26,pre-test
0.001281,07:57:27,pre-test
0.001281,07:57:27,pre-test
0.001281,07:57:27,pre-test
0.001281,07:57:27,pre-test
0.001281,07:57:28,pre-test
0.0,07:57:28,pre-test
0.0,07:57:28,pre-test
0.0,07:57:28,pre-test
0.0,07:57:29,pre-test
0.0,07:57:29,pre-test
0.001281,07:57:29,pre-test
0.001281,07:57:29,pre-test
0.001281,07:57:30,pre-test
0.002562,07:57:30,pre-test
0.0,07:57:30,pre-test
0.0,07:57:30,pre-test
0.0,07:57:31,pre-test
0.0,07:57:31,pre-test
0.0,07:57:31,pre-test
0.0,07:57:31,pre-test
0.0,07:57:32,pre-test
0.001281,07:57:32,pre-test
0.001281,07:57:32,pre-test
0.001281,07:57:32,pre-test
0.0,07:57:33,pre-test
0.001281,07:57:33,pre-test
0.0,07:57:33,pre-test
0.0,07:57:33,pre-test
0.0,07:57:34,pre-test
0.001281,07:57:34,pre-test
0.0,07:57:34,pre-test
0.001281,07:57:34,pre-test
0.001281,07:57:35,pre-test
0.001281,07:57:35,pre-test
0.0,07:57:35,pre-test
0.001281,07:57:35,pre-test
0.001281,07:57:36,pre-test
0.0,07:57:36,pre-test
0.0,07:57:36,pre-test
0.0,07:57:36,pre-test
0.0,07:57:37,pre-test
0.0,07:57:37,pre-test
0.002562,07:57:37,pre-test
0.0,07:57:37,pre-test
0.0,07:57:38,pre-test
0.0,07:57:38,pre-test
0.0,07:57:38,pre-test
0.0,07:57:38,pre-test
0.0,07:57:39,pre-test
0.0,07:57:39,pre-test
0.0,07:57:39,pre-test
0.0,07:57:39,pre-test
0.0,07:57:40,pre-test
0.0,07:57:40,pre-test
0.0,07:57:40,pre-test
0.0,07:57:40,pre-test
0.0,07:57:41,pre-test
0.001281,07:57:41,pre-test
0.001281,07:57:41,pre-test
0.001281,07:57:41,pre-test
0.0,07:57:42,pre-test
0.0,07:57:42,pre-test
0.0,07:57:42,pre-test
0.0,07:57:42,pre-test
0.0,07:57:43,pre-test
0.0,07:57:43,pre-test
0.0,07:57:43,pre-test
0.0,07:57:43,pre-test
0.001281,07:57:44,pre-test
0.0,07:57:44,pre-test
0.0,07:57:44,pre-test
0.0,07:57:44,pre-test
0.0,07:57:45,pre-test
0.0,07:57:45,pre-test
0.0,07:57:45,pre-test
0.001281,07:57:45,pre-test
0.0,07:57:46,pre-test
0.0,07:57:46,pre-test
0.0,07:57:46,pre-test
0.0,07:57:46,pre-test
0.0,07:57:47,pre-test
0.0,07:57:47,pre-test
0.0,07:57:47,pre-test
0.0,07:57:47,pre-test
0.0,07:57:48,pre-test
0.0,07:57:48,pre-test
0.0,07:57:48,pre-test
0.0,07:57:48,pre-test
0.0,07:57:49,pre-test
0.001281,07:57:49,pre-test
0.0,07:57:49,pre-test
0.0,07:57:49,pre-test
0.0,07:57:50,pre-test
0.0,07:57:50,pre-test
0.0,07:57:50,pre-test
0.0,07:57:50,pre-test
0.0,07:57:51,pre-test
0.0,07:57:51,pre-test
0.0,07:57:51,pre-test
0.0,07:57:51,pre-test
0.0,07:57:52,pre-test
0.0,07:57:52,pre-test
0.0,07:57:52,pre-test
0.0,07:57:52,pre-test
0.0,07:57:53,pre-test
0.0,07:57:53,pre-test
0.0,07:57:53,pre-test
0.0,07:57:53,pre-test
0.0,07:57:54,pre-test
0.0,07:57:54,pre-test
0.0,07:57:54,pre-test
0.0,07:57:54,pre-test
0.0,07:57:55,pre-test
0.0,07:57:55,pre-test
0.0,07:57:55,pre-test
0.0,07:57:55,pre-test
0.0,07:57:56,pre-test
0.0,07:57:56,pre-test
0.0,07:57:56,pre-test
0.0,07:57:56,pre-test
0.0,07:57:57,pre-test
0.0,07:57:57,pre-test
0.0,07:57:57,pre-test
0.0,07:57:57,pre-test
0.0,07:57:58,pre-test
0.0,07:57:58,pre-test
0.0,07:57:58,pre-test
0.0,07:57:58,pre-test
0.0,07:57:59,pre-test
0.0,07:57:59,pre-test
0.0,07:57:59,pre-test
0.0,07:57:59,pre-test
0.0,07:58:00,pre-test
0.0,07:58:00,pre-test
0.0,07:58:00,pre-test
0.0,07:58:00,pre-test
0.0,07:58:01,pre-test
0.0,07:58:01,pre-test
0.0,07:58:01,pre-test
0.0,07:58:01,pre-test
0.0,07:58:02,pre-test
0.0,07:58:02,pre-test
0.0,07:58:02,pre-test
0.0,07:58:02,pre-test
0.001281,07:58:03,pre-test
0.001281,07:58:03,pre-test
0.0,07:58:03,pre-test
0.0,07:58:03,pre-test
0.0,07:58:04,pre-test
0.0,07:58:04,pre-test
0.0,07:58:04,pre-test
0.0,07:58:04,pre-test
0.0,07:58:05,pre-test
0.0,07:58:05,pre-test
0.0,07:58:05,pre-test
0.0,07:58:05,pre-test
0.0,07:58:06,pre-test
0.0,07:58:06,pre-test
0.0,07:58:06,pre-test
0.0,07:58:06,pre-test
0.0,07:58:07,pre-test
0.0,07:58:07,pre-test
0.0,07:58:07,pre-test
0.0,07:58:07,pre-test
0.0,07:58:08,pre-test
0.0,07:58:08,pre-test
0.0,07:58:08,pre-test
0.0,07:58:08,pre-test
0.0,07:58:09,pre-test
0.0,07:58:09,pre-test
