EDA,timestamp,period
0.0,07:56:20,pre-test
0.003845,07:56:20,pre-test
0.01666,07:56:20,pre-test
0.017942,07:56:20,pre-test
0.015379,07:56:21,pre-test
0.015379,07:56:21,pre-test
0.017942,07:56:21,pre-test
0.017942,07:56:21,pre-test
0.01666,07:56:22,pre-test
0.01666,07:56:22,pre-test
0.015379,07:56:22,pre-test
0.015379,07:56:22,pre-test
0.01666,07:56:23,pre-test
0.01666,07:56:23,pre-test
0.01666,07:56:23,pre-test
0.015379,07:56:23,pre-test
0.014097,07:56:24,pre-test
0.014097,07:56:24,pre-test
0.014097,07:56:24,pre-test
0.014097,07:56:24,pre-test
0.014097,07:56:25,pre-test
0.014097,07:56:25,pre-test
0.012816,07:56:25,pre-test
0.012816,07:56:25,pre-test
0.012816,07:56:26,pre-test
0.014097,07:56:26,pre-test
0.011534,07:56:26,pre-test
0.010253,07:56:26,pre-test
0.010253,07:56:27,pre-test
0.008971,07:56:27,pre-test
0.008971,07:56:27,pre-test
0.010253,07:56:27,pre-test
0.008971,07:56:28,pre-test
0.007689,07:56:28,pre-test
0.006408,07:56:28,pre-test
0.008971,07:56:28,pre-test
0.008971,07:56:29,pre-test
0.007689,07:56:29,pre-test
0.005126,07:56:29,pre-test
0.006408,07:56:29,pre-test
0.006408,07:56:30,pre-test
0.006408,07:56:30,pre-test
0.006408,07:56:30,pre-test
0.006408,07:56:30,pre-test
0.005126,07:56:31,pre-test
0.003845,07:56:31,pre-test
0.006408,07:56:31,pre-test
0.006408,07:56:31,pre-test
0.005126,07:56:32,pre-test
0.003845,07:56:32,pre-test
0.005126,07:56:32,pre-test
0.003845,07:56:32,pre-test
0.005126,07:56:33,pre-test
0.005126,07:56:33,pre-test
0.005126,07:56:33,pre-test
0.002563,07:56:33,pre-test
0.002563,07:56:34,pre-test
0.003845,07:56:34,pre-test
0.005126,07:56:34,pre-test
0.003845,07:56:34,pre-test
0.003845,07:56:35,pre-test
0.003845,07:56:35,pre-test
0.002563,07:56:35,pre-test
0.005126,07:56:35,pre-test
0.005126,07:56:36,pre-test
0.003845,07:56:36,pre-test
0.002563,07:56:36,pre-test
0.002563,07:56:36,pre-test
0.002563,07:56:37,pre-test
0.006408,07:56:37,pre-test
0.003845,07:56:37,pre-test
0.003845,07:56:37,pre-test
0.002563,07:56:38,pre-test
0.002563,07:56:38,pre-test
0.003845,07:56:38,pre-test
0.003845,07:56:38,pre-test
0.003845,07:56:39,pre-test
0.003845,07:56:39,pre-test
0.002563,07:56:39,pre-test
0.002563,07:56:39,pre-test
0.003845,07:56:40,pre-test
0.003845,07:56:40,pre-test
0.002563,07:56:40,pre-test
0.003845,07:56:40,pre-test
0.001282,07:56:41,pre-test
0.002563,07:56:41,pre-test
0.002563,07:56:41,pre-test
0.003845,07:56:41,pre-test
0.002563,07:56:42,pre-test
0.003845,07:56:42,pre-test
0.003845,07:56:42,pre-test
0.003845,07:56:42,pre-test
0.002563,07:56:43,pre-test
0.002563,07:56:43,pre-test
0.001282,07:56:43,pre-test
0.001282,07:56:43,pre-test
0.002563,07:56:44,pre-test
0.001282,07:56:44,pre-test
0.001282,07:56:44,pre-test
0.002563,07:56:44,pre-test
0.002563,07:56:45,pre-test
0.001282,07:56:45,pre-test
0.001282,07:56:45,pre-test
0.001282,07:56:45,pre-test
0.001282,07:56:46,pre-test
0.002563,07:56:46,pre-test
0.002563,07:56:46,pre-test
0.001282,07:56:46,pre-test
0.001282,07:56:47,pre-test
0.003845,07:56:47,pre-test
0.002563,07:56:47,pre-test
0.002563,07:56:47,pre-test
0.002563,07:56:48,pre-test
0.002563,07:56:48,pre-test
0.001282,07:56:48,pre-test
0.002563,07:56:48,pre-test
0.002563,07:56:49,pre-test
0.002563,07:56:49,pre-test
0.001282,07:56:49,pre-test
0.001282,07:56:49,pre-test
0.0,07:56:50,pre-test
0.005126,07:56:50,pre-test
0.0,07:56:50,pre-test
0.002563,07:56:50,pre-test
0.001282,07:56:51,pre-test
0.001282,07:56:51,pre-test
0.001282,07:56:51,pre-test
0.001282,07:56:51,pre-test
0.002563,07:56:52,pre-test
0.001282,07:56:52,pre-test
