time_seconds,EDA_min,EDA_max
-300.0,0.0,0.023064
-299.75,0.0,0.051235
-299.5,0.114045,0.689149
-299.25,0.0,1.009652
-299.0,0.0,1.072418
-298.75,0.0,1.059864
-298.5,0.0,1.550653
-298.25,0.0,1.913347
-298.0,0.0,1.801878
-297.75,0.0,1.344209
-297.5,0.0,1.214818
-297.25,0.0,0.676757
-297.0,0.0,0.835176
-296.75,0.0,1.182579
-296.5,0.0,0.572918
-296.25,0.0,0.328258
-296.0,0.0,0.290862
-295.75,0.0,0.293425
-295.5,0.0,0.512563
-295.25,0.0,0.699649
-295.0,0.0,0.680182
-294.75,0.0,1.182579
-294.5,0.0,0.43082
-294.25,0.0,0.460292
-294.0,0.0,0.35621
-293.75,0.0,0.82784
-293.5,0.0,1.175389
-293.25,0.0,0.574338
-293.0,0.0,0.610217
-292.75,0.0,0.620468
-292.5,0.0,0.62175
-292.25,0.0,0.67685
-292.0,0.0,0.62175
-291.75,0.0,0.584589
-291.5,0.0,0.529489
-291.25,0.0,0.670443
-291.0,0.0,0.670443
-290.75,0.0,0.749891
-290.5,0.0,1.021549
-290.25,0.0,0.743553
-290.0,0.0,0.469331
-289.75,0.0,0.664105
-289.5,0.0,0.633352
-289.25,0.0,0.614131
-289.0,0.0,0.614131
-288.75,0.0,0.762774
-288.5,0.0,0.799935
-288.25,0.0,0.761493
-288.0,0.0,0.717925
-287.75,0.0,0.744834
-287.5,0.0,0.647447
-287.25,0.0,0.429608
-287.0,0.0,0.565368
-286.75,0.0,0.571775
-286.5,0.0,0.443634
-286.25,0.0,0.707604
-286.0,0.0,0.608936
-285.75,0.0,0.642252
-285.5,0.0,0.299831
-285.25,0.0,0.389572
-285.0,0.0,0.789347
-284.75,0.0,1.175318
-284.5,0.0,1.381694
-284.25,0.0,0.94344
-284.0,0.0,0.29855
-283.75,0.0,0.297269
-283.5,0.0,0.312931
-283.25,0.0,0.352654
-283.0,0.0,0.491046
-282.75,0.0,0.924162
-282.5,0.0,0.993358
-282.25,0.0,0.90366
-282.0,0.0,0.71273
-281.75,0.0,0.623031
-281.5,0.0,0.294706
-281.25,0.0,0.329589
-281.0,0.0,0.292143
-280.75,0.0,0.665091
-280.5,0.0,0.420569
-280.25,0.0,0.992137
-280.0,0.0,0.570494
-279.75,0.0,0.470544
-279.5,0.0,0.467981
-279.25,0.0,1.127974
-279.0,0.0,0.510367
-278.75,0.0,0.443634
-278.5,0.0,0.970351
-278.25,0.0,1.175389
-278.0,0.0,1.588096
-277.75,0.0,2.018775
-277.5,0.0,1.288527
-277.25,0.0,2.009804
-277.0,0.0,2.526442
-276.75,0.0,2.493273
-276.5,0.0,1.776922
-276.25,0.0,1.285964
-276.0,0.0,0.797519
-275.75,0.0,0.599749
-275.5,0.0,0.51905
-275.25,0.0,0.626649
-275.0,0.0,0.809824
-274.75,0.0,0.89949
-274.5,0.0,0.923828
-274.25,0.0,0.593345
-274.0,0.0,0.570287
-273.75,0.0,0.608716
-273.5,0.0,0.567726
-273.25,0.0,0.652237
-273.0,0.0,0.807287
-272.75,0.0,0.61384
-272.5,0.0,0.589502
-272.25,0.0,0.589502
-272.0,0.0,0.884439
-271.75,0.0,0.811398
-271.5,0.0,0.467812
-271.25,0.0,0.551073
-271.0,0.0,0.554916
-270.75,0.0,0.551073
-270.5,0.0,0.490661
-270.25,0.0,0.550873
-270.0,0.0,0.581619
-269.75,0.0,0.622802
-269.5,0.0,0.613647
-269.25,0.0,0.703535
-269.0,0.0,0.645674
-268.75,0.0,0.654642
-268.5,0.0,0.666172
-268.25,0.0,0.939596
-268.0,0.0,0.739684
-267.75,0.0,0.708886
-267.5,0.0,0.724263
-267.25,0.0,0.787052
-267.0,0.0,0.828057
-266.75,0.0,0.79474
-266.5,0.0,0.804991
-266.25,0.0,0.82165
-266.0,0.0,0.826775
-265.75,0.0,0.551272
-265.5,0.0,0.558826
-265.25,0.0,0.602298
-265.0,0.0,0.630492
-264.75,0.0,0.565164
-264.5,0.0,0.665091
-264.25,0.0,1.172826
-264.0,0.0,1.28054
-263.75,0.0,1.585533
-263.5,0.0,1.456203
-263.25,0.0,1.261417
-263.0,0.0,1.722751
-262.75,0.0,2.087975
-262.5,0.0,1.448713
-262.25,0.0,1.285964
-262.0,0.0,0.797519
-261.75,0.0,0.529297
-261.5,0.0,0.583167
-261.25,0.0,0.592135
-261.0,0.0,0.588292
-260.75,0.0,0.592135
-260.5,0.0,0.595978
-260.25,0.0,0.601103
-260.0,0.0,0.604946
-259.75,0.0,0.617906
-259.5,0.0,0.615343
-259.25,0.0,0.612633
-259.0,0.0,0.615195
-258.75,0.0,0.616476
-258.5,0.0,0.617757
-258.25,0.0,0.617757
-258.0,0.0,0.6216
-257.75,0.0,0.624162
-257.5,0.0,0.640817
-257.25,0.0,0.71512
-257.0,0.0,0.712506
-256.75,0.0,1.175389
-256.5,0.0,1.47917
-256.25,0.0,1.803485
-256.0,0.0,1.431854
-255.75,0.0,0.797519
-255.5,0.0,0.589573
-255.25,0.0,0.585729
-255.0,0.0,0.451323
-254.75,0.0,0.596122
-254.5,0.0,0.605092
-254.25,0.0,0.602529
-254.0,0.0,0.624313
-253.75,0.0,0.82784
-253.5,0.0,0.96907
-253.25,0.0,1.140789
-253.0,0.0,0.635845
-252.75,0.0,0.637127
-252.5,0.0,0.437227
-252.25,0.0,0.405046
-252.0,0.0,0.769941
-251.75,0.0,0.762521
-251.5,0.0,0.71635
-251.25,0.0,1.175389
-251.0,0.0,1.566311
-250.75,0.0,0.798801
-250.5,0.0,0.63339
-250.25,0.0,1.613726
-250.0,0.0,1.672774
