time_seconds,EDA_min,EDA_max
-300.0,0.0,0.133258
-299.75,0.0,0.146072
-299.5,0.142236,0.626382
-299.25,0.0,0.632939
-299.0,0.0,0.612439
-298.75,0.0,0.550939
-298.5,0.0,0.434345
-298.25,0.0,0.748252
-298.0,0.0,1.179021
-297.75,0.0,1.617278
-297.5,0.0,2.095285
-297.25,0.0,2.583642
-297.0,0.0,3.079673
-296.75,0.0,3.577403
-296.5,0.0,3.866143
-296.25,0.0,3.885362
-296.0,0.0,2.942359
-295.75,0.0,2.77964
-295.5,0.0,3.577403
-295.25,0.0,4.076269
-295.0,0.0,4.575489
-294.75,0.0,4.024965
-294.5,0.0,3.777683
-294.25,0.0,4.575489
-294.0,0.0,5.074312
-293.75,0.0,5.573583
-293.5,0.0,6.07276
-293.25,0.0,6.571853
-293.0,0.0,6.869865
-292.75,0.0,6.837834
-292.5,0.0,6.735334
-292.25,0.0,6.808365
-292.0,0.0,6.850646
-291.75,0.0,6.860897
-291.5,0.0,6.853209
-291.25,0.0,6.84424
-291.0,0.0,6.831428
-290.75,0.0,6.799397
-290.5,0.0,6.637959
-290.25,0.0,6.92624
-290.0,0.0,7.107383
-289.75,0.0,7.11379
-289.5,0.0,7.193227
-289.25,0.0,7.279071
-289.0,0.0,7.327759
-288.75,0.0,7.412322
-288.5,0.0,6.794143
-288.25,0.0,6.775538
-288.0,0.0,6.904945
-287.75,0.0,6.451381
-287.5,0.0,6.272006
-287.25,0.0,5.774394
-287.0,0.0,5.275224
-286.75,0.0,4.776131
-286.5,0.0,4.276954
-286.25,0.0,4.828311
-286.0,0.0,5.074312
-285.75,0.0,4.484517
-285.5,0.0,4.276954
-285.25,0.0,3.778964
-285.0,0.0,3.278859
-284.75,0.0,2.77964
-284.5,0.0,2.280774
-284.25,0.0,1.783044
-284.0,0.0,1.288295
-283.75,0.0,1.371377
-283.5,0.0,1.587909
-283.25,0.0,0.796094
-283.0,0.0,1.371278
-282.75,0.0,1.417403
-282.5,0.0,1.617278
-282.25,0.0,2.083754
-282.0,0.0,2.583642
-281.75,0.0,3.079673
-281.5,0.0,3.577403
-281.25,0.0,4.071144
-281.0,0.0,4.1373
-280.75,0.0,4.128331
-280.5,0.0,3.430048
-280.25,0.0,3.278859
-280.0,0.0,2.780921
-279.75,0.0,2.280774
-279.5,0.0,1.783044
-279.25,0.0,1.288295
-279.0,0.0,0.798656
-278.75,0.0,0.832765
-278.5,0.0,0.886841
-278.25,0.0,0.594733
-278.0,0.0,0.840719
-277.75,0.0,0.908621
-277.5,0.0,0.913746
-277.25,0.0,0.964993
-277.0,0.0,0.979086
-276.75,0.0,1.055956
-276.5,0.0,1.12649
-276.25,0.0,0.48334
-276.0,0.0,0.383408
-275.75,0.0,0.569109
-275.5,0.0,0.817658
-275.25,0.0,1.062362
-275.0,0.0,1.212329
-274.75,0.0,0.769042
-274.5,0.0,0.555085
-274.25,0.0,0.33088
-274.0,0.0,0.460209
-273.75,0.0,0.831534
-273.5,0.0,0.375652
-273.25,0.0,0.231949
-273.0,0.0,0.326967
-272.75,0.0,0.51122
-272.5,0.0,0.831534
-272.25,0.0,0.434586
-272.0,0.0,0.312874
-271.75,0.0,0.248608
-271.5,0.0,0.329262
-271.25,0.0,0.695679
-271.0,0.0,0.697227
-270.75,0.0,0.512738
-270.5,0.0,0.626762
-270.25,0.0,0.697227
-270.0,0.0,0.704914
-269.75,0.0,0.594733
-269.5,0.0,0.766411
-269.25,0.0,0.610107
-269.0,0.0,0.653667
-268.75,0.0,0.726694
-268.5,0.0,0.75488
-268.25,0.0,0.579359
-268.0,0.0,0.53708
-267.75,0.0,0.503769
-267.5,0.0,0.502488
-267.25,0.0,0.635731
-267.0,0.0,0.725413
-266.75,0.0,0.738225
-266.5,0.0,0.42818
-266.25,0.0,0.588327
-266.0,0.0,0.635731
-265.75,0.0,0.671604
-265.5,0.0,0.587046
-265.25,0.0,0.494801
-265.0,0.0,0.49352
-264.75,0.0,0.458928
-264.5,0.0,0.585765
-264.25,0.0,0.4064
-264.0,0.0,0.530674
-263.75,0.0,0.516581
-263.5,0.0,0.448679
-263.25,0.0,0.6242
-263.0,0.0,0.593452
-262.75,0.0,0.372912
-262.5,0.0,0.376757
-262.25,0.0,0.380601
-262.0,0.0,0.494801
-261.75,0.0,0.447398
-261.5,0.0,0.68954
-261.25,0.0,0.724132
-261.0,0.0,0.771535
-260.75,0.0,0.779222
-260.5,0.0,0.829188
-260.25,0.0,0.831751
-260.0,0.0,0.825345
-259.75,0.0,0.843281
-259.5,0.0,0.857374
-259.25,0.0,0.839438
-259.0,0.0,0.877873
-258.75,0.0,0.762567
-258.5,0.0,0.649823
-258.25,0.0,0.39726
-258.0,0.0,0.401105
-257.75,0.0,0.410075
-257.5,0.0,0.410075
-257.25,0.0,0.410075
-257.0,0.0,0.593452
-256.75,0.0,0.66776
-256.5,0.0,0.721569
-256.25,0.0,0.756161
-256.0,0.0,0.662635
-255.75,0.0,0.652386
-255.5,0.0,0.662635
-255.25,0.0,0.760005
-255.0,0.0,0.813814
-254.75,0.0,0.768973
-254.5,0.0,0.763848
-254.25,0.0,0.756161
-254.0,0.0,0.752318
-253.75,0.0,0.756161
-253.5,0.0,0.765129
-253.25,0.0,0.777941
-253.0,0.0,0.742068
-252.75,0.0,0.416483
-252.5,0.0,0.738225
-252.25,0.0,0.503769
-252.0,0.0,0.793315
-251.75,0.0,0.875311
-251.5,0.0,0.979086
-251.25,0.0,0.923995
-251.0,0.0,0.952181
-250.75,0.0,0.959868
-250.5,0.0,0.922714
-250.25,0.0,1.018802
-250.0,0.0,0.889473
-249.75,0.0,0.94072
-249.5,0.0,0.857443
-249.25,0.0,0.833101
-249.0,0.0,0.829257
-248.75,0.0,0.812602
-248.5,0.0,0.806196
-248.25,0.0,0.749824
-248.0,0.0,0.849756
-247.75,0.0,0.857443
-247.5,0.0,0.683203
-247.25,0.0,0.399823
-247.0,0.0,0.704914
-246.75,0.0,0.402386
-246.5,0.0,0.75488
-246.25,0.0,0.795878
-246.0,0.0,0.903497
-245.75,0.0,1.002147
-245.5,0.0,0.935526
-245.25,0.0,1.002147
-245.0,0.0,0.840719
-244.75,0.0,0.854812
-244.5,0.0,0.893247
-244.25,0.0,0.949619
-244.0,0.0,0.943213
-243.75,0.0,0.931682
-243.5,0.0,0.931682
-243.25,0.0,0.935526
-243.0,0.0,0.935526
-242.75,0.0,0.935526
-242.5,0.0,0.932964
-242.25,0.0,0.930401
-242.0,0.0,0.934245
-241.75,0.0,0.956025
-241.5,0.0,0.925277
-241.25,0.0,0.925277
-241.0,0.0,0.854812
-240.75,0.0,0.767692
-240.5,0.0,0.993179
-240.25,0.0,0.926558
-240.0,0.0,0.940651
