time_seconds,HR_min,HR_max
-11,75.5,123.73
-10,75.43,124.2
-9,75.33,124.67
-8,75.23,125.17
-7,74.95,125.67
-6,74.63,126.18
-5,74.3,126.67
-4,74.55,127.15
-3,74.63,127.67
-2,74.85,128.17
-1,75.38,128.6
0,75.8,129.02
1,76.23,129.47
2,76.58,130.05
3,76.33,130.8
4,76.02,131.45
5,75.72,132.15
6,75.27,132.83
7,74.83,133.53
8,74.38,134.23
9,73.92,135.13
10,73.43,136.05
11,72.95,136.93
12,72.98,137.8
13,73.08,138.7
14,73.4,139.57
15,73.8,140.53
16,74.18,140.67
17,74.6,140.68
18,75.05,140.68
19,75.57,140.65
20,76.07,140.67
21,76.78,140.02
22,77.63,139.37
23,78.27,138.77
24,78.88,138.12
25,79.5,137.47
26,79.82,137.08
27,80.0,137.15
28,80.2,137.2
29,80.35,137.3
30,80.6,137.38
31,80.85,137.52
32,81.12,137.72
33,81.38,137.88
34,81.65,138.02
35,81.85,138.13
36,82.05,138.22
37,82.22,137.72
38,82.4,137.2
39,82.58,136.7
40,82.63,136.22
41,82.73,135.42
42,82.82,134.63
43,82.85,133.87
44,82.93,133.12
45,83.02,133.2
46,83.07,133.25
47,83.08,133.32
48,83.07,133.4
49,83.08,133.57
50,83.1,133.72
51,83.1,133.85
52,83.12,133.97
53,83.15,134.1
54,83.27,134.23
55,83.32,133.72
56,83.38,133.18
57,83.48,132.58
58,83.55,131.93
59,83.58,131.28
60,83.67,130.63
61,83.8,129.95
62,83.97,129.23
63,84.13,128.55
64,84.15,127.97
65,84.12,127.3
66,84.03,126.63
67,83.92,125.95
68,83.6,125.28
69,83.28,124.48
70,82.95,123.67
71,82.62,122.72
72,82.27,122.45
73,81.92,122.15
74,81.55,121.85
75,81.18,121.55
76,80.8,121.38
77,80.4,121.23
78,79.98,121.1
79,79.62,120.97
80,79.3,120.88
81,79.07,121.52
82,78.85,122.12
83,78.6,122.75
84,78.52,123.4
85,78.4,124.07
86,78.3,124.43
87,78.22,124.15
88,78.12,123.47
89,78.1,122.77
90,77.95,122.1
91,77.78,121.45
92,77.72,120.8
93,77.73,120.18
94,77.77,119.62
95,77.95,119.05
96,78.1,118.5
97,78.28,118.65
98,78.38,118.82
99,78.2,119.13
100,78.08,119.42
101,78.02,119.58
102,77.9,119.7
103,77.8,119.82
104,77.68,119.87
105,77.63,119.13
106,77.58,118.4
107,77.62,117.58
108,77.7,116.77
109,77.78,115.95
110,78.0,115.15
111,78.22,114.52
112,78.47,113.88
113,78.68,113.22
114,78.53,112.62
115,78.27,112.73
116,77.82,112.83
117,77.5,112.98
118,77.32,113.22
119,77.12,113.17
120,76.6,113.12
121,76.23,113.08
122,75.88,113.08
123,75.53,115.02
124,75.2,115.9
125,74.92,116.63
126,74.65,117.33
127,74.52,118.03
128,74.38,118.22
