time_seconds,HR_min,HR_max
-300,79.25,141.93
-299,79.32,141.73
-298,79.4,141.52
-297,79.47,141.28
-296,79.55,141.05
-295,79.6,141.53
-294,79.7,141.88
-293,79.82,142.18
-292,79.95,142.5
-291,80.18,142.78
-290,80.35,143.08
-289,80.53,143.4
-288,80.8,143.73
-287,80.98,144.1
-286,81.13,144.52
-285,81.37,144.9
-284,81.57,145.3
-283,81.68,145.4
-282,81.83,145.33
-281,81.95,145.25
-280,82.12,145.12
-279,82.3,145.02
-278,82.35,144.35
-277,82.4,143.53
-276,82.47,142.68
-275,82.65,141.88
-274,82.85,141.08
-273,83.0,140.25
-272,83.15,139.28
-271,83.3,138.32
-270,83.43,137.32
-269,83.62,136.2
-268,83.85,135.25
-267,84.02,134.3
-266,84.17,133.35
-265,84.32,132.4
-264,84.45,131.57
-263,84.48,130.75
-262,84.53,129.98
-261,84.58,129.1
-260,84.6,128.2
-259,84.57,127.55
-258,84.53,126.85
-257,84.35,126.15
-256,84.22,125.4
-255,84.08,124.62
-254,83.9,123.83
-253,83.62,123.08
-252,83.37,122.93
-251,83.17,123.35
-250,82.97,123.8
-249,82.73,124.25
-248,82.55,124.78
-247,82.28,125.32
-246,82.17,125.5
-245,82.15,125.68
-244,82.18,125.8
-243,82.2,125.9
-242,82.22,126.0
-241,82.33,126.12
-240,82.42,126.3
-239,82.7,126.6
-238,82.87,126.9
-237,83.12,127.27
-236,83.42,127.22
-235,83.67,126.98
-234,83.93,126.8
-233,84.18,127.5
-232,84.42,128.22
-231,84.68,128.92
-230,84.98,129.63
-229,85.27,130.52
-228,85.5,131.52
-227,85.78,132.65
-226,86.08,133.78
-225,86.32,135.12
-224,86.58,136.37
-223,86.88,137.02
-222,87.2,137.6
-221,87.12,138.2
-220,86.5,138.8
-219,85.83,139.42
-218,85.18,139.97
-217,84.57,140.57
-216,83.97,141.22
-215,83.37,141.85
-214,83.0,142.45
-213,82.6,143.05
-212,82.18,143.65
-211,81.78,144.32
-210,81.73,144.93
-209,81.85,145.63
-208,81.88,146.32
-207,81.95,147.17
-206,82.0,148.07
-205,81.98,149.0
-204,81.95,149.87
-203,81.88,150.72
-202,81.82,151.55
-201,81.72,152.4
-200,81.65,153.25
-199,81.57,154.13
-198,81.42,155.02
-197,81.3,155.92
-196,81.2,156.78
-195,81.08,157.63
-194,80.77,158.47
-193,80.75,159.33
-192,80.73,160.2
-191,80.75,161.2
-190,80.78,162.17
-189,80.82,163.08
-188,80.92,164.12
-187,81.02,165.05
-186,81.12,165.83
-185,81.23,166.58
-184,81.28,167.87
-183,81.4,169.2
-182,81.05,169.95
-181,80.7,169.95
-180,80.32,169.9
-179,79.98,169.87
-178,79.75,169.83
-177,79.52,169.78
-176,79.28,168.95
-175,78.97,168.0
-174,78.68,167.08
-173,78.45,166.15
-172,78.25,165.22
-171,78.08,164.25
-170,77.93,163.28
-169,77.8,162.13
-168,77.57,161.0
-167,77.35,159.85
-166,77.12,158.7
-165,76.88,157.45
-164,76.7,156.18
-163,76.52,155.53
-162,76.35,154.93
-161,76.2,155.42
-160,76.05,156.83
-159,75.9,158.25
-158,75.72,159.18
-157,75.7,160.52
-156,75.57,161.77
-155,75.42,162.98
-154,75.22,163.38
-153,75.03,163.38
-152,74.88,163.37
-151,74.73,163.37
-150,74.62,163.32
-149,74.48,163.27
-148,74.35,163.28
-147,74.38,163.25
-146,74.4,163.42
-145,74.4,163.58
-144,74.57,163.92
-143,74.9,164.22
-142,75.15,164.47
-141,75.4,164.73
-140,75.7,165.02
-139,75.83,165.5
-138,75.88,165.82
-137,75.9,165.75
-136,76.07,165.72
-135,76.2,165.72
-134,76.45,165.7
-133,76.55,165.75
-132,76.65,165.8
-131,76.68,165.83
-130,76.68,165.88
-129,76.7,165.88
-128,76.62,165.88
-127,76.52,165.8
-126,76.4,165.7
-125,76.32,165.55
-124,76.25,165.38
-123,76.13,165.25
-122,76.15,165.02
-121,76.15,164.78
-120,76.15,164.53
-119,76.15,164.48
-118,76.17,164.45
-117,76.2,164.43
-116,76.18,164.45
-115,76.13,164.4
-114,76.18,164.3
-113,76.15,164.23
-112,76.1,164.17
-111,76.02,164.07
-110,75.9,163.83
-109,76.23,163.62
-108,76.55,163.42
-107,76.85,163.38
-106,77.17,163.3
-105,77.47,163.22
-104,77.78,163.12
-103,78.13,162.95
-102,78.52,162.8
-101,78.73,162.65
-100,78.52,162.53
-99,78.33,162.2
-98,78.15,161.88
-97,78.0,161.32
-96,77.82,160.38
-95,77.63,159.5
-94,77.55,158.63
-93,77.52,157.67
-92,77.57,156.68
-91,77.62,156.07
-90,77.68,155.77
-89,77.68,155.63
-88,77.68,155.5
-87,77.65,155.48
-86,77.6,155.48
-85,77.55,155.48
-84,77.47,155.48
-83,77.38,153.92
-82,77.3,152.42
-81,77.18,150.87
-80,77.07,149.37
-79,76.92,148.32
-78,76.83,147.17
-77,76.73,146.07
-76,76.6,144.87
-75,76.42,143.77
-74,76.33,142.68
-73,76.25,141.6
-72,76.17,140.78
-71,76.0,140.62
-70,75.8,140.38
-69,75.58,140.15
-68,75.37,139.93
-67,75.17,139.72
-66,74.9,139.53
-65,74.72,139.4
-64,74.45,139.27
-63,74.17,139.12
-62,73.93,138.85
-61,73.7,138.43
-60,73.45,138.03
-59,73.28,139.12
-58,73.08,139.48
-57,73.25,139.88
-56,73.32,138.73
-55,73.18,136.98
-54,73.02,136.73
-53,72.87,138.22
-52,72.78,139.77
-51,72.9,141.28
-50,73.05,141.73
-49,73.22,143.25
-48,73.35,144.75
-47,73.53,147.32
