EDA,time_seconds,period
0.758861,-247.0,pre-test
0.752454,-246.75,pre-test
0.735795,-246.5,pre-test
0.722981,-246.25,pre-test
0.714011,-246.0,pre-test
0.710167,-245.75,pre-test
0.656348,-245.5,pre-test
0.647378,-245.25,pre-test
0.616624,-245.0,pre-test
0.616624,-244.75,pre-test
0.63072,-244.5,pre-test
0.632001,-244.25,pre-test
0.726825,-244.0,pre-test
0.778082,-243.75,pre-test
0.79474,-243.5,pre-test
0.778082,-243.25,pre-test
0.804991,-243.0,pre-test
0.802428,-242.75,pre-test
0.802428,-242.5,pre-test
0.787052,-242.25,pre-test
0.758861,-242.0,pre-test
0.735795,-241.75,pre-test
0.743484,-241.5,pre-test
0.79474,-241.25,pre-test
0.79474,-241.0,pre-test
0.778082,-240.75,pre-test
0.780645,-240.5,pre-test
0.778082,-240.25,pre-test
0.681976,-240.0,pre-test
0.707604,-239.75,pre-test
0.661474,-239.5,pre-test
0.667881,-239.25,pre-test
0.693509,-239.0,pre-test
0.689665,-238.75,pre-test
0.699916,-238.5,pre-test
0.651222,-238.25,pre-test
0.653785,-238.0,pre-test
0.63072,-237.75,pre-test
0.626876,-237.5,pre-test
0.620468,-237.25,pre-test
0.64866,-237.0,pre-test
0.626876,-236.75,pre-test
0.570494,-236.5,pre-test
0.593559,-236.25,pre-test
0.610217,-236.0,pre-test
0.632001,-235.75,pre-test
0.673006,-235.5,pre-test
0.638408,-235.25,pre-test
0.634564,-235.0,pre-test
0.658911,-234.75,pre-test
0.669162,-234.5,pre-test
0.687102,-234.25,pre-test
0.651222,-234.0,pre-test
0.429539,-233.75,pre-test
0.469262,-233.5,pre-test
0.567931,-233.25,pre-test
0.507705,-233.0,pre-test
0.501298,-232.75,pre-test
0.514112,-232.5,pre-test
0.515393,-232.25,pre-test
0.537177,-232.0,pre-test
0.680695,-231.75,pre-test
0.63969,-231.5,pre-test
0.560242,-231.25,pre-test
0.532051,-231.0,pre-test
0.414162,-230.75,pre-test
0.432102,-230.5,pre-test
0.464137,-230.25,pre-test
0.432102,-230.0,pre-test
0.456448,-229.75,pre-test
0.553835,-229.5,pre-test
0.584589,-229.25,pre-test
0.637127,-229.0,pre-test
0.681976,-228.75,pre-test
0.640971,-228.5,pre-test
0.793459,-228.25,pre-test
0.889564,-228.0,pre-test
0.935695,-227.75,pre-test
0.957479,-227.5,pre-test
0.906223,-227.25,pre-test
0.90366,-227.0,pre-test
0.922881,-226.75,pre-test
0.930569,-226.5,pre-test
0.975419,-226.25,pre-test
0.624313,-226.0,pre-test
0.678132,-225.75,pre-test
0.716574,-225.5,pre-test
0.81268,-225.25,pre-test
0.780645,-225.0,pre-test
0.807554,-224.75,pre-test
0.828057,-224.5,pre-test
0.81268,-224.25,pre-test
0.789614,-224.0,pre-test
0.751172,-223.75,pre-test
0.7768,-223.5,pre-test
0.806273,-223.25,pre-test
0.906223,-223.0,pre-test
0.951072,-222.75,pre-test
0.96773,-222.5,pre-test
0.970293,-222.25,pre-test
0.975419,-222.0,pre-test
0.965167,-221.75,pre-test
0.960042,-221.5,pre-test
0.960042,-221.25,pre-test
0.94979,-221.0,pre-test
0.94979,-220.75,pre-test
0.940821,-220.5,pre-test
0.943383,-220.25,pre-test
0.936976,-220.0,pre-test
0.94979,-219.75,pre-test
0.95876,-219.5,pre-test
0.965167,-219.25,pre-test
0.970293,-219.0,pre-test
0.962605,-218.75,pre-test
0.957479,-218.5,pre-test
0.952353,-218.25,pre-test
0.944665,-218.0,pre-test
0.940821,-217.75,pre-test
0.936976,-217.5,pre-test
0.929288,-217.25,pre-test
0.931851,-217.0,pre-test
0.952353,-216.75,pre-test
0.980544,-216.5,pre-test
1.012579,-216.25,pre-test
1.034363,-216.0,pre-test
0.985739,-215.75,pre-test
0.994709,-215.5,pre-test
0.99599,-215.25,pre-test
0.992146,-215.0,pre-test
0.984458,-214.75,pre-test
0.975488,-214.5,pre-test
0.960111,-214.25,pre-test
0.930638,-214.0,pre-test
0.920387,-213.75,pre-test
0.907573,-213.5,pre-test
0.893478,-213.25,pre-test
0.883226,-213.0,pre-test
0.875538,-212.75,pre-test
0.817874,-212.5,pre-test
0.806342,-212.25,pre-test
0.81403,-212.0,pre-test
0.798653,-211.75,pre-test
0.808905,-211.5,pre-test
0.802498,-211.25,pre-test
0.799935,-211.0,pre-test
0.797372,-210.75,pre-test
0.794809,-210.5,pre-test
0.792246,-210.25,pre-test
0.789684,-210.0,pre-test
0.783276,-209.75,pre-test
0.801216,-209.5,pre-test
0.75893,-209.25,pre-test
0.730739,-209.0,pre-test
0.733302,-208.75,pre-test
0.696141,-208.5,pre-test
0.651291,-208.25,pre-test
0.647447,-208.0,pre-test
0.665387,-207.75,pre-test
0.655136,-207.5,pre-test
0.657698,-207.25,pre-test
0.660261,-207.0,pre-test
0.682045,-206.75,pre-test
0.730739,-206.5,pre-test
0.775588,-206.25,pre-test
0.81403,-206.0,pre-test
0.843503,-205.75,pre-test
0.884508,-205.5,pre-test
0.929357,-205.25,pre-test
0.797372,-205.0,pre-test
0.812749,-204.75,pre-test
0.810186,-204.5,pre-test
0.843503,-204.25,pre-test
0.83197,-204.0,pre-test
0.797372,-203.75,pre-test
0.708955,-203.5,pre-test
0.691015,-203.25,pre-test
0.715362,-203.0,pre-test
0.871694,-202.75,pre-test
0.856317,-202.5,pre-test
0.878101,-202.25,pre-test
0.869131,-202.0,pre-test
0.864005,-201.75,pre-test
0.734583,-201.5,pre-test
0.684608,-201.25,pre-test
0.762774,-201.0,pre-test
0.806342,-200.75,pre-test
0.788402,-200.5,pre-test
0.812749,-200.25,pre-test
0.826844,-200.0,pre-test
0.857598,-199.75,pre-test
0.808905,-199.5,pre-test
0.830689,-199.25,pre-test
0.837096,-199.0,pre-test
0.839658,-198.75,pre-test
0.839658,-198.5,pre-test
0.834533,-198.25,pre-test
0.751241,-198.0,pre-test
0.665387,-197.75,pre-test
0.647447,-197.5,pre-test
0.721769,-197.25,pre-test
0.716643,-197.0,pre-test
0.717925,-196.75,pre-test
0.707673,-196.5,pre-test
0.75893,-196.25,pre-test
0.693578,-196.0,pre-test
0.702548,-195.75,pre-test
0.726894,-195.5,pre-test
0.65898,-195.25,pre-test
0.638477,-195.0,pre-test
0.620538,-194.75,pre-test
0.639759,-194.5,pre-test
0.660261,-194.25,pre-test
0.671794,-194.0,pre-test
0.689734,-193.75,pre-test
0.71408,-193.5,pre-test
0.753804,-193.25,pre-test
0.770462,-193.0,pre-test
0.7679,-192.75,pre-test
0.785839,-192.5,pre-test
0.807623,-192.25,pre-test
0.824282,-192.0,pre-test
0.835814,-191.75,pre-test
0.820437,-191.5,pre-test
0.7679,-191.25,pre-test
0.787121,-191.0,pre-test
0.784558,-190.75,pre-test
0.785839,-190.5,pre-test
0.784558,-190.25,pre-test
0.765337,-190.0,pre-test
0.743553,-189.75,pre-test
0.752523,-189.5,pre-test
0.755085,-189.25,pre-test
0.734583,-189.0,pre-test
0.687171,-188.75,pre-test
0.511618,-188.5,pre-test
0.438578,-188.25,pre-test
0.633283,-188.0,pre-test
0.670443,-187.75,pre-test
0.69479,-187.5,pre-test
0.722981,-187.25,pre-test
0.731951,-187.0,pre-test
0.752454,-186.75,pre-test
0.762705,-186.5,pre-test
0.7768,-186.25,pre-test
0.796021,-186.0,pre-test
0.811398,-185.75,pre-test
0.820368,-185.5,pre-test
0.826775,-185.25,pre-test
0.833182,-185.0,pre-test
0.831901,-184.75,pre-test
0.830619,-184.5,pre-test
0.822931,-184.25,pre-test
0.819087,-184.0,pre-test
0.810117,-183.75,pre-test
0.80371,-183.5,pre-test
0.798584,-183.25,pre-test
0.792177,-183.0,pre-test
0.787052,-182.75,pre-test
