time_seconds,TEMP_min,TEMP_max
-300.0,22.51,23.71
-299.75,22.51,23.71
-299.5,22.51,23.71
-299.25,22.51,23.71
-299.0,22.49,23.71
-298.75,22.49,23.71
-298.5,22.49,23.71
-298.25,22.49,23.71
-298.0,22.51,23.71
-297.75,22.51,23.71
-297.5,22.51,23.71
-297.25,22.51,23.71
-297.0,22.49,23.73
-296.75,22.49,23.73
-296.5,22.49,23.73
-296.25,22.49,23.73
-296.0,22.49,23.73
-295.75,22.49,23.73
-295.5,22.49,23.73
-295.25,22.49,23.73
-295.0,22.47,23.73
-294.75,22.47,23.73
-294.5,22.47,23.73
-294.25,22.47,23.73
-294.0,22.51,23.73
-293.75,22.51,23.73
-293.5,22.51,23.73
-293.25,22.51,23.73
-293.0,22.45,23.73
-292.75,22.45,23.73
-292.5,22.45,23.73
-292.25,22.45,23.73
-292.0,22.49,23.75
-291.75,22.49,23.75
-291.5,22.49,23.75
-291.25,22.49,23.75
-291.0,22.47,23.77
-290.75,22.47,23.77
-290.5,22.47,23.77
-290.25,22.47,23.77
-290.0,22.49,23.77
-289.75,22.49,23.77
-289.5,22.49,23.77
-289.25,22.49,23.77
-289.0,22.51,23.79
-288.75,22.51,23.79
-288.5,22.51,23.79
-288.25,22.51,23.79
-288.0,22.49,23.77
-287.75,22.49,23.77
-287.5,22.49,23.77
-287.25,22.49,23.77
-287.0,22.49,23.79
-286.75,22.49,23.79
-286.5,22.49,23.79
-286.25,22.49,23.79
-286.0,22.47,23.81
-285.75,22.47,23.81
-285.5,22.47,23.81
-285.25,22.47,23.81
-285.0,22.45,23.81
-284.75,22.45,23.81
-284.5,22.45,23.81
-284.25,22.45,23.81
-284.0,22.49,23.83
-283.75,22.49,23.83
-283.5,22.49,23.83
-283.25,22.49,23.83
-283.0,22.47,23.83
-282.75,22.47,23.83
-282.5,22.47,23.83
-282.25,22.47,23.83
-282.0,22.47,23.85
-281.75,22.47,23.85
-281.5,22.47,23.85
-281.25,22.47,23.85
-281.0,22.47,23.85
-280.75,22.47,23.85
-280.5,22.47,23.85
-280.25,22.47,23.85
-280.0,22.47,23.83
-279.75,22.47,23.83
-279.5,22.47,23.83
-279.25,22.47,23.83
-279.0,22.47,23.85
-278.75,22.47,23.85
-278.5,22.47,23.85
-278.25,22.47,23.85
-278.0,22.47,23.85
-277.75,22.47,23.85
-277.5,22.47,23.85
-277.25,22.47,23.85
-277.0,22.47,23.87
-276.75,22.47,23.87
-276.5,22.47,23.87
-276.25,22.47,23.87
-276.0,22.47,23.89
-275.75,22.47,23.89
-275.5,22.47,23.89
-275.25,22.47,23.89
-275.0,22.47,23.87
-274.75,22.47,23.87
-274.5,22.47,23.87
-274.25,22.47,23.87
-274.0,22.47,23.89
-273.75,22.47,23.89
-273.5,22.47,23.89
-273.25,22.47,23.89
-273.0,22.49,23.91
-272.75,22.49,23.91
-272.5,22.49,23.91
-272.25,22.49,23.91
-272.0,22.47,23.91
-271.75,22.47,23.91
-271.5,22.47,23.91
-271.25,22.47,23.91
-271.0,22.47,23.93
-270.75,22.47,23.93
-270.5,22.47,23.93
-270.25,22.47,23.93
-270.0,22.47,23.95
-269.75,22.47,23.95
-269.5,22.47,23.95
-269.25,22.47,23.95
-269.0,22.49,23.91
-268.75,22.49,23.91
-268.5,22.49,23.91
-268.25,22.49,23.91
-268.0,22.49,23.93
-267.75,22.49,23.93
-267.5,22.49,23.93
-267.25,22.49,23.93
-267.0,22.47,23.95
-266.75,22.47,23.95
-266.5,22.47,23.95
-266.25,22.47,23.95
-266.0,22.45,23.95
-265.75,22.45,23.95
-265.5,22.45,23.95
-265.25,22.45,23.95
-265.0,22.45,23.97
-264.75,22.45,23.97
-264.5,22.45,23.97
-264.25,22.45,23.97
-264.0,22.49,23.95
-263.75,22.49,23.95
-263.5,22.49,23.95
-263.25,22.49,23.95
-263.0,22.47,23.99
-262.75,22.47,23.99
-262.5,22.47,23.99
-262.25,22.47,23.99
-262.0,22.47,23.99
-261.75,22.47,23.99
-261.5,22.47,23.99
-261.25,22.47,23.99
-261.0,22.47,23.99
-260.75,22.47,23.99
-260.5,22.47,23.99
-260.25,22.47,23.99
-260.0,22.45,23.99
-259.75,22.45,23.99
-259.5,22.45,23.99
-259.25,22.45,23.99
-259.0,22.47,23.97
-258.75,22.47,23.97
-258.5,22.47,23.97
-258.25,22.47,23.97
-258.0,22.45,24.01
-257.75,22.45,24.01
-257.5,22.45,24.01
-257.25,22.45,24.01
-257.0,22.45,24.03
-256.75,22.45,24.03
-256.5,22.45,24.03
-256.25,22.45,24.03
-256.0,22.47,24.01
-255.75,22.47,24.01
-255.5,22.47,24.01
-255.25,22.47,24.01
-255.0,22.47,24.01
-254.75,22.47,24.01
-254.5,22.47,24.01
-254.25,22.47,24.01
-254.0,22.49,24.03
-253.75,22.49,24.03
-253.5,22.49,24.03
-253.25,22.49,24.03
-253.0,22.49,24.03
-252.75,22.49,24.03
-252.5,22.49,24.03
-252.25,22.49,24.03
-252.0,22.47,24.05
-251.75,22.47,24.05
-251.5,22.47,24.05
-251.25,22.47,24.05
-251.0,22.47,24.05
-250.75,22.47,24.05
-250.5,22.47,24.05
-250.25,22.47,24.05
-250.0,22.47,24.05
-249.75,22.47,24.05
-249.5,22.47,24.05
-249.25,22.47,24.05
-249.0,22.47,24.05
-248.75,22.47,24.05
-248.5,22.47,24.05
-248.25,22.47,24.05
-248.0,22.49,24.09
-247.75,22.49,24.09
-247.5,22.49,24.09
-247.25,22.49,24.09
-247.0,22.47,24.09
-246.75,22.47,24.09
-246.5,22.47,24.09
-246.25,22.47,24.09
-246.0,22.47,24.09
-245.75,22.47,24.09
-245.5,22.47,24.09
-245.25,22.47,24.09
-245.0,22.49,24.11
-244.75,22.49,24.11
-244.5,22.49,24.11
-244.25,22.49,24.11
-244.0,22.49,24.09
-243.75,22.49,24.09
-243.5,22.49,24.09
-243.25,22.49,24.09
-243.0,22.47,24.11
-242.75,22.47,24.11
-242.5,22.47,24.11
-242.25,22.47,24.11
-242.0,22.47,24.09
-241.75,22.47,24.09
-241.5,22.47,24.09
-241.25,22.47,24.09
-241.0,22.49,24.13
-240.75,22.49,24.13
-240.5,22.49,24.13
-240.25,22.49,24.13
-240.0,22.47,24.11
-239.75,22.47,24.11
-239.5,22.47,24.11
-239.25,22.47,24.11
-239.0,22.47,24.13
-238.75,22.47,24.13
-238.5,22.47,24.13
-238.25,22.47,24.13
-238.0,22.49,24.11
-237.75,22.49,24.11
-237.5,22.49,24.11
-237.25,22.49,24.11
-237.0,22.47,24.17
-236.75,22.47,24.17
-236.5,22.47,24.17
-236.25,22.47,24.17
-236.0,22.47,24.17
-235.75,22.47,24.17
-235.5,22.47,24.17
-235.25,22.47,24.17
-235.0,22.49,24.17
-234.75,22.49,24.17
-234.5,22.49,24.17
-234.25,22.49,24.17
-234.0,22.49,24.17
-233.75,22.49,24.17
-233.5,22.49,24.17
-233.25,22.49,24.17
-233.0,22.49,24.19
-232.75,22.49,24.19
-232.5,22.49,24.19
-232.25,22.49,24.19
-232.0,22.51,24.19
-231.75,22.51,24.19
-231.5,22.51,24.19
-231.25,22.51,24.19
-231.0,22.49,24.19
-230.75,22.49,24.19
-230.5,22.49,24.19
-230.25,22.49,24.19
-230.0,22.49,24.21
-229.75,22.49,24.21
-229.5,22.49,24.21
-229.25,22.49,24.21
-229.0,22.51,24.23
-228.75,22.51,24.23
-228.5,22.51,24.23
-228.25,22.51,24.23
-228.0,22.49,24.21
-227.75,22.49,24.21
-227.5,22.49,24.21
-227.25,22.49,24.21
-227.0,22.53,24.23
-226.75,22.53,24.23
-226.5,22.53,24.23
-226.25,22.53,24.23
-226.0,22.51,24.25
-225.75,22.51,24.25
-225.5,22.51,24.25
-225.25,22.51,24.25
-225.0,22.53,24.27
-224.75,22.53,24.27
-224.5,22.53,24.27
