EDA,timestamp,period
0.001281,10:29:26,in-test
0.002562,10:29:27,in-test
0.002562,10:29:27,in-test
0.002562,10:29:27,in-test
0.003843,10:29:27,in-test
0.005123,10:29:28,in-test
0.001281,10:29:28,in-test
0.002562,10:29:28,in-test
0.001281,10:29:28,in-test
0.003843,10:29:29,in-test
0.002562,10:29:29,in-test
0.001281,10:29:29,in-test
0.002562,10:29:29,in-test
0.005123,10:29:30,in-test
0.001281,10:29:30,in-test
0.002562,10:29:30,in-test
0.003843,10:29:30,in-test
0.001281,10:29:31,in-test
0.002562,10:29:31,in-test
0.001281,10:29:31,in-test
0.005123,10:29:31,in-test
0.002562,10:29:32,in-test
0.001281,10:29:32,in-test
0.002562,10:29:32,in-test
0.001281,10:29:32,in-test
0.002562,10:29:33,in-test
0.002562,10:29:33,in-test
0.001281,10:29:33,in-test
0.001281,10:29:33,in-test
0.001281,10:29:34,in-test
0.001281,10:29:34,in-test
0.001281,10:29:34,in-test
0.0,10:29:34,in-test
0.0,10:29:35,in-test
0.002562,10:29:35,in-test
0.0,10:29:35,in-test
0.001281,10:29:35,in-test
0.001281,10:29:36,in-test
0.001281,10:29:36,in-test
0.0,10:29:36,in-test
0.001281,10:29:36,in-test
0.001281,10:29:37,in-test
0.001281,10:29:37,in-test
0.0,10:29:37,in-test
0.002562,10:29:37,in-test
0.002562,10:29:38,in-test
0.001281,10:29:38,in-test
0.002562,10:29:38,in-test
0.0,10:29:38,in-test
0.001281,10:29:39,in-test
0.001281,10:29:39,in-test
0.001281,10:29:39,in-test
0.002562,10:29:39,in-test
0.002562,10:29:40,in-test
0.001281,10:29:40,in-test
0.001281,10:29:40,in-test
0.001281,10:29:40,in-test
0.0,10:29:41,in-test
0.002562,10:29:41,in-test
0.001281,10:29:41,in-test
0.002562,10:29:41,in-test
0.002562,10:29:42,in-test
0.002562,10:29:42,in-test
0.002562,10:29:42,in-test
0.001281,10:29:42,in-test
0.002562,10:29:43,in-test
0.002562,10:29:43,in-test
0.001281,10:29:43,in-test
0.005123,10:29:43,in-test
0.002562,10:29:44,in-test
0.0,10:29:44,in-test
0.001281,10:29:44,in-test
0.001281,10:29:44,in-test
0.0,10:29:45,in-test
0.001281,10:29:45,in-test
0.0,10:29:45,in-test
0.001281,10:29:45,in-test
0.001281,10:29:46,in-test
0.002562,10:29:46,in-test
0.0,10:29:46,in-test
0.0,10:29:46,in-test
0.001281,10:29:47,in-test
0.002562,10:29:47,in-test
0.001281,10:29:47,in-test
0.001281,10:29:47,in-test
0.0,10:29:48,in-test
0.001281,10:29:48,in-test
0.002562,10:29:48,in-test
0.0,10:29:48,in-test
0.002562,10:29:49,in-test
0.001281,10:29:49,in-test
0.0,10:29:49,in-test
0.0,10:29:49,in-test
0.002562,10:29:50,in-test
0.0,10:29:50,in-test
0.0,10:29:50,in-test
0.001281,10:29:50,in-test
0.001281,10:29:51,in-test
0.001281,10:29:51,in-test
0.0,10:29:51,in-test
0.002562,10:29:51,in-test
0.001281,10:29:52,in-test
0.002562,10:29:52,in-test
0.001281,10:29:52,in-test
0.0,10:29:52,in-test
0.001281,10:29:53,in-test
0.002562,10:29:53,in-test
0.0,10:29:53,in-test
0.0,10:29:53,in-test
0.001281,10:29:54,in-test
0.0,10:29:54,in-test
0.0,10:29:54,in-test
0.0,10:29:54,in-test
0.001281,10:29:55,in-test
0.0,10:29:55,in-test
0.0,10:29:55,in-test
0.0,10:29:55,in-test
0.0,10:29:56,in-test
0.0,10:29:56,in-test
0.0,10:29:56,in-test
0.0,10:29:56,in-test
0.001281,10:29:57,in-test
0.002562,10:29:57,in-test
0.0,10:29:57,in-test
0.001281,10:29:57,in-test
0.002562,10:29:58,in-test
